,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,66.5053,66.0054,0.8540000000000001,0.7090000000000001,0.21,67,66,VELA12,58,0.230,3.348,01,ACS,F435W,VELA12_a0.230_sunrise_cam01_ACS-F435W_SB00-pred,0.05448335409164429,0.4358668327331543,0.03553691506385803
1,1,66.2063,66.1396,0.9,0.875,-44.05,66,67,VELA12,63,0.230,3.348,06,ACS,F435W,VELA12_a0.230_sunrise_cam06_ACS-F435W_SB00-pred,0.17642974853515625,1.9407272338867188,0.05452827736735344
2,1,63.8349,60.0334,0.938,0.88,-28.45,64,60,VELA12,95,0.250,3.000,00,ACS,F435W,VELA12_a0.250_sunrise_cam00_ACS-F435W_SB00-pred,0.8033114075660706,11.246359825134277,0.09529420733451843
3,2,58.321,66.1832,1.133,1.0190000000000001,-66.57,59,67,VELA12,95,0.250,3.000,00,ACS,F435W,VELA12_a0.250_sunrise_cam00_ACS-F435W_SB00-pred,0.3309454023838043,5.957017421722412,0.07333756983280182
4,1,71.0161,63.4926,0.856,0.711,-89.8,72,63,VELA12,97,0.250,3.000,02,ACS,F435W,VELA12_a0.250_sunrise_cam02_ACS-F435W_SB00-pred,0.06585629284381866,0.5268503427505493,0.03737633675336838
5,1,69.9312,65.5067,1.021,0.932,-84.51,70,65,VELA12,99,0.250,3.000,04,ACS,F435W,VELA12_a0.250_sunrise_cam04_ACS-F435W_SB00-pred,0.6631214022636414,11.936184883117676,0.11526072025299072
6,1,60.5313,66.8255,1.181,1.068,64.67,60,67,VELA12,100,0.250,3.000,05,ACS,F435W,VELA12_a0.250_sunrise_cam05_ACS-F435W_SB00-pred,0.5059611797332764,11.131146430969238,0.10332311689853668
7,2,70.4474,66.8645,1.055,0.9620000000000001,-74.81,70,67,VELA12,100,0.250,3.000,05,ACS,F435W,VELA12_a0.250_sunrise_cam05_ACS-F435W_SB00-pred,0.20638370513916016,3.0957555770874023,0.06998654454946518
8,1,59.7728,64.9938,0.9329999999999999,0.773,2.75,59,64,VELA12,101,0.250,3.000,06,ACS,F435W,VELA12_a0.250_sunrise_cam06_ACS-F435W_SB00-pred,0.1245192438364029,1.2451924085617065,0.04084714502096176
9,2,69.6018,65.8009,1.03,0.927,2.22,70,65,VELA12,101,0.250,3.000,06,ACS,F435W,VELA12_a0.250_sunrise_cam06_ACS-F435W_SB00-pred,0.6874088644981384,11.68595027923584,0.11281108111143112
10,1,59.3796,65.0632,1.146,0.9940000000000001,42.31,59,65,VELA12,102,0.250,3.000,07,ACS,F435W,VELA12_a0.250_sunrise_cam07_ACS-F435W_SB00-pred,0.4936351776123047,9.872703552246094,0.09220744669437408
11,1,68.3864,65.8523,1.2409999999999999,0.976,21.71,68,66,VELA12,103,0.250,3.000,08,ACS,F435W,VELA12_a0.250_sunrise_cam08_ACS-F435W_SB00-pred,0.2529131770133972,4.805350303649902,0.10237159579992294
12,1,60.4604,64.0004,1.161,0.9840000000000001,-10.22,60,64,VELA12,104,0.250,3.000,09,ACS,F435W,VELA12_a0.250_sunrise_cam09_ACS-F435W_SB00-pred,0.5931860208511353,11.27053451538086,0.09723355621099472
13,1,63.5677,63.7727,1.058,0.927,1.9,64,64,VELA12,105,0.250,3.000,10,ACS,F435W,VELA12_a0.250_sunrise_cam10_ACS-F435W_SB00-pred,0.2825288474559784,4.2379326820373535,0.07418321073055267
14,2,68.8796,66.1779,1.1340000000000001,0.981,-10.97,69,67,VELA12,105,0.250,3.000,10,ACS,F435W,VELA12_a0.250_sunrise_cam10_ACS-F435W_SB00-pred,0.27643030881881714,4.975745677947998,0.11016665399074554
15,1,59.7029,64.9379,1.058,1.024,80.79,60,65,VELA12,106,0.250,3.000,11,ACS,F435W,VELA12_a0.250_sunrise_cam11_ACS-F435W_SB00-pred,0.29076552391052246,4.943014144897461,0.0630861222743988
16,2,66.9444,70.0198,1.091,1.087,49.23,67,70,VELA12,106,0.250,3.000,11,ACS,F435W,VELA12_a0.250_sunrise_cam11_ACS-F435W_SB00-pred,0.27941423654556274,8.382427215576172,0.14555154740810394
17,1,59.8966,64.6782,1.048,1.016,11.88,60,65,VELA12,109,0.250,3.000,14,ACS,F435W,VELA12_a0.250_sunrise_cam14_ACS-F435W_SB00-pred,0.3718624413013458,6.321661472320557,0.06674813479185104
18,2,69.0073,66.7663,0.955,0.887,-87.92,69,66,VELA12,109,0.250,3.000,14,ACS,F435W,VELA12_a0.250_sunrise_cam14_ACS-F435W_SB00-pred,0.7430245280265808,11.145367622375488,0.09460453689098358
19,1,59.6105,64.616,1.001,0.88,46.48,60,65,VELA12,110,0.250,3.000,15,ACS,F435W,VELA12_a0.250_sunrise_cam15_ACS-F435W_SB00-pred,0.23556190729141235,3.062304735183716,0.048790667206048965
20,2,68.7311,67.1094,0.993,0.929,-35.58,68,67,VELA12,110,0.250,3.000,15,ACS,F435W,VELA12_a0.250_sunrise_cam15_ACS-F435W_SB00-pred,0.6974372863769531,11.15899658203125,0.0982358455657959
21,1,60.2908,65.4056,1.209,0.977,3.99,60,65,VELA12,112,0.250,3.000,17,ACS,F435W,VELA12_a0.250_sunrise_cam17_ACS-F435W_SB00-pred,0.5198781490325928,10.397562980651855,0.08387484401464462
22,2,68.3276,65.2492,1.011,0.887,19.76,68,66,VELA12,112,0.250,3.000,17,ACS,F435W,VELA12_a0.250_sunrise_cam17_ACS-F435W_SB00-pred,0.0938330888748169,1.1259970664978027,0.06856215000152588
23,1,60.3191,65.1089,1.044,0.972,17.77,60,65,VELA12,113,0.250,3.000,18,ACS,F435W,VELA12_a0.250_sunrise_cam18_ACS-F435W_SB00-pred,0.24373823404312134,6.093455791473389,0.09715545922517776
24,1,58.331,63.9086,1.153,0.9470000000000001,73.19,58,64,VELA12,115,0.260,2.846,02,ACS,F435W,VELA12_a0.260_sunrise_cam02_ACS-F435W_SB00-pred,0.1812785118818283,4.35068416595459,0.09990017116069794
