,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,65.1277,64.532,0.7979999999999999,0.7140000000000001,-52.71,65,65,VELA26,266,0.250,3.000,00,ACS,F435W,VELA26_a0.250_sunrise_cam00_ACS-F435W_SB00-pred,1.1896685361862183,13.086353302001953,0.21876250207424164
1,1,67.8305,61.8496,1.19,0.9740000000000001,28.24,68,63,VELA26,267,0.250,3.000,01,ACS,F435W,VELA26_a0.250_sunrise_cam01_ACS-F435W_SB00-pred,0.1953900158405304,3.3216302394866943,0.1039123386144638
2,2,64.9305,65.5962,1.0270000000000001,0.938,-66.72,65,66,VELA26,267,0.250,3.000,01,ACS,F435W,VELA26_a0.250_sunrise_cam01_ACS-F435W_SB00-pred,0.5799233913421631,10.438621520996094,0.20551376044750214
3,1,65.4611,64.8832,0.8540000000000001,0.787,-4.1,65,64,VELA26,268,0.250,3.000,02,ACS,F435W,VELA26_a0.250_sunrise_cam02_ACS-F435W_SB00-pred,1.1848359107971191,14.21803092956543,0.17609992623329163
4,1,64.5979,65.3258,0.82,0.728,-33.32,65,66,VELA26,269,0.250,3.000,03,ACS,F435W,VELA26_a0.250_sunrise_cam03_ACS-F435W_SB00-pred,0.6542959809303284,7.8515520095825195,0.2206166386604309
5,1,65.777,65.4113,1.112,0.9940000000000001,-0.01,66,66,VELA26,270,0.250,3.000,04,ACS,F435W,VELA26_a0.250_sunrise_cam04_ACS-F435W_SB00-pred,0.2848063111305237,5.126513481140137,0.16347338259220123
6,2,73.3167,70.5212,1.189,1.0090000000000001,-1.32,73,70,VELA26,270,0.250,3.000,04,ACS,F435W,VELA26_a0.250_sunrise_cam04_ACS-F435W_SB00-pred,0.46505260467529297,9.766104698181152,0.08748476952314377
7,1,65.4599,65.1793,0.892,0.847,-29.38,65,65,VELA26,271,0.250,3.000,05,ACS,F435W,VELA26_a0.250_sunrise_cam05_ACS-F435W_SB00-pred,0.9951974153518677,13.932764053344727,0.19123998284339905
8,1,68.0727,61.8214,1.068,0.927,1.55,68,61,VELA26,272,0.250,3.000,06,ACS,F435W,VELA26_a0.250_sunrise_cam06_ACS-F435W_SB00-pred,0.2707744240760803,4.06161642074585,0.09787674248218536
9,2,64.9696,65.4883,0.993,0.9259999999999999,-65.4,65,66,VELA26,272,0.250,3.000,06,ACS,F435W,VELA26_a0.250_sunrise_cam06_ACS-F435W_SB00-pred,0.5976622104644775,10.757920265197754,0.20707286894321442
10,1,60.0196,61.9915,1.425,1.105,-12.05,61,63,VELA26,273,0.250,3.000,07,ACS,F435W,VELA26_a0.250_sunrise_cam07_ACS-F435W_SB00-pred,0.30576395988464355,8.255626678466797,0.12451207637786865
11,2,64.8668,65.3055,0.843,0.7659999999999999,-71.59,65,66,VELA26,273,0.250,3.000,07,ACS,F435W,VELA26_a0.250_sunrise_cam07_ACS-F435W_SB00-pred,0.8769524097442627,9.646476745605469,0.14467041194438934
12,1,68.1699,61.4248,1.2209999999999999,0.915,-11.55,68,62,VELA26,274,0.250,3.000,08,ACS,F435W,VELA26_a0.250_sunrise_cam08_ACS-F435W_SB00-pred,0.23996707797050476,4.3194074630737305,0.12757231295108795
13,2,65.0316,65.476,1.015,0.919,-68.76,65,66,VELA26,274,0.250,3.000,08,ACS,F435W,VELA26_a0.250_sunrise_cam08_ACS-F435W_SB00-pred,0.6633954048156738,11.941117286682129,0.17821002006530762
14,1,61.784,61.3219,1.012,0.885,-74.1,62,62,VELA26,275,0.250,3.000,09,ACS,F435W,VELA26_a0.250_sunrise_cam09_ACS-F435W_SB00-pred,0.10176131129264832,1.2211357355117798,0.07015165686607361
15,2,64.5873,65.2763,0.8590000000000001,0.7879999999999999,-42.42,64,66,VELA26,275,0.250,3.000,09,ACS,F435W,VELA26_a0.250_sunrise_cam09_ACS-F435W_SB00-pred,0.7552799582481384,9.818639755249023,0.1857365220785141
16,1,66.9669,61.0002,0.903,0.882,-72.5,67,61,VELA26,276,0.250,3.000,10,ACS,F435W,VELA26_a0.250_sunrise_cam10_ACS-F435W_SB00-pred,0.919727087020874,11.956452369689941,0.10316452383995056
17,2,64.8689,65.2242,1.0759999999999998,0.93,-52.49,64,65,VELA26,276,0.250,3.000,10,ACS,F435W,VELA26_a0.250_sunrise_cam10_ACS-F435W_SB00-pred,0.41922008991241455,7.545961856842041,0.18735675513744354
18,1,64.9335,64.5622,0.79,0.68,-22.63,65,65,VELA26,277,0.250,3.000,11,ACS,F435W,VELA26_a0.250_sunrise_cam11_ACS-F435W_SB00-pred,1.450933575630188,13.058402061462402,0.189613476395607
19,1,64.5946,65.257,0.934,0.914,-30.53,65,66,VELA26,278,0.250,3.000,12,ACS,F435W,VELA26_a0.250_sunrise_cam12_ACS-F435W_SB00-pred,0.32255616784095764,4.515786170959473,0.1901557296514511
20,1,64.9605,65.8552,0.971,0.919,-62.46,65,66,VELA26,279,0.250,3.000,13,ACS,F435W,VELA26_a0.250_sunrise_cam13_ACS-F435W_SB00-pred,0.6094681620597839,9.751490592956543,0.17454013228416443
21,2,63.5331,70.5144,1.161,1.062,48.33,63,70,VELA26,279,0.250,3.000,13,ACS,F435W,VELA26_a0.250_sunrise_cam13_ACS-F435W_SB00-pred,0.12663882970809937,2.152860164642334,0.08457520604133606
