,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,65.5803,65.0924,1.026,0.988,-16.97,65,65,VELA06,0,0.200,4.000,00,ACS,F606W,VELA06_a0.200_sunrise_cam00_ACS-F606W_SB00-pred,0.4111991822719574,8.223983764648438,0.28449273109436035
1,1,62.1302,62.1308,1.237,1.133,-7.71,62,62,VELA06,1,0.200,4.000,01,ACS,F606W,VELA06_a0.200_sunrise_cam01_ACS-F606W_SB00-pred,0.14141802489757538,3.111196517944336,0.14461882412433624
2,2,65.6683,64.0738,1.172,1.09,-30.14,66,65,VELA06,1,0.200,4.000,01,ACS,F606W,VELA06_a0.200_sunrise_cam01_ACS-F606W_SB00-pred,0.14390654861927032,2.8781309127807617,0.16139711439609528
3,1,65.1148,65.5766,1.058,0.981,-70.28,65,65,VELA06,2,0.200,4.000,02,ACS,F606W,VELA06_a0.200_sunrise_cam02_ACS-F606W_SB00-pred,0.43365079164505005,9.106666564941406,0.311651349067688
4,1,64.422,63.5651,2.302,1.141,-22.21,63,65,VELA06,3,0.200,4.000,03,ACS,F606W,VELA06_a0.200_sunrise_cam03_ACS-F606W_SB00-pred,0.22224488854408264,9.778775215148926,0.3539506793022156
5,1,65.5846,64.2513,1.129,1.04,-6.05,66,65,VELA06,4,0.200,4.000,04,ACS,F606W,VELA06_a0.200_sunrise_cam04_ACS-F606W_SB00-pred,0.17099054157733917,3.590801477432251,0.22715459764003754
6,1,64.6615,63.6401,1.3219999999999998,1.081,40.54,65,63,VELA06,5,0.200,4.000,05,ACS,F606W,VELA06_a0.200_sunrise_cam05_ACS-F606W_SB00-pred,0.2501000463962555,7.002801418304443,0.27913403511047363
7,1,65.7097,64.3688,1.035,0.9790000000000001,11.47,66,64,VELA06,6,0.200,4.000,06,ACS,F606W,VELA06_a0.200_sunrise_cam06_ACS-F606W_SB00-pred,0.3978181481361389,8.354181289672852,0.26843124628067017
8,1,65.7537,64.3112,0.9229999999999999,0.868,28.16,65,65,VELA06,7,0.200,4.000,07,ACS,F606W,VELA06_a0.200_sunrise_cam07_ACS-F606W_SB00-pred,0.5003532767295837,7.505299091339111,0.2242904156446457
9,1,64.0607,64.2537,1.619,1.071,-15.05,64,65,VELA06,8,0.200,4.000,08,ACS,F606W,VELA06_a0.200_sunrise_cam08_ACS-F606W_SB00-pred,0.11386328190565109,3.0743086338043213,0.2561488747596741
10,1,65.3739,62.9002,2.375,1.229,-40.0,64,64,VELA06,9,0.200,4.000,09,ACS,F606W,VELA06_a0.200_sunrise_cam09_ACS-F606W_SB00-pred,0.1777491271495819,8.709707260131836,0.38490545749664307
11,1,64.0048,63.8537,1.9140000000000001,1.123,-21.24,63,65,VELA06,10,0.200,4.000,10,ACS,F606W,VELA06_a0.200_sunrise_cam10_ACS-F606W_SB00-pred,0.20300449430942535,7.714170932769775,0.31533023715019226
12,1,65.7474,63.3467,1.73,1.1420000000000001,-57.82,66,64,VELA06,11,0.200,4.000,11,ACS,F606W,VELA06_a0.200_sunrise_cam11_ACS-F606W_SB00-pred,0.10289536416530609,3.0868608951568604,0.24474500119686127
13,1,63.3271,62.7481,2.338,1.217,29.77,62,62,VELA06,12,0.200,4.000,12,ACS,F606W,VELA06_a0.200_sunrise_cam12_ACS-F606W_SB00-pred,0.12949983775615692,5.69799280166626,0.2887001931667328
14,1,64.3747,64.2087,1.5090000000000001,1.1059999999999999,-2.68,65,65,VELA06,13,0.200,4.000,13,ACS,F606W,VELA06_a0.200_sunrise_cam13_ACS-F606W_SB00-pred,0.13392207026481628,3.7498180866241455,0.32611793279647827
15,1,65.1645,64.2217,1.05,1.0170000000000001,49.28,65,65,VELA06,14,0.200,4.000,14,ACS,F606W,VELA06_a0.200_sunrise_cam14_ACS-F606W_SB00-pred,0.40384596586227417,8.884611129760742,0.3104194700717926
16,1,64.5779,63.8339,2.004,1.297,-64.07,64,65,VELA06,15,0.200,4.000,15,ACS,F606W,VELA06_a0.200_sunrise_cam15_ACS-F606W_SB00-pred,0.195416659116745,8.989166259765625,0.4622304439544678
