,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,70.0469,62.8478,0.875,0.845,-89.4,70,63,VELA14,228,0.250,3.000,00,ACS,F435W,VELA14_a0.250_sunrise_cam00_ACS-F435W_SB00-pred,1.2298612594604492,15.98819637298584,0.14084531366825104
1,1,67.3994,61.3285,1.32,0.955,-76.92,67,61,VELA14,229,0.250,3.000,01,ACS,F435W,VELA14_a0.250_sunrise_cam01_ACS-F435W_SB00-pred,0.10421440750360489,1.8758593797683716,0.09525978565216064
2,1,68.5166,61.5006,0.9590000000000001,0.9520000000000001,11.79,69,62,VELA14,230,0.250,3.000,02,ACS,F435W,VELA14_a0.250_sunrise_cam02_ACS-F435W_SB00-pred,0.023261746391654015,0.2791409492492676,0.0613270029425621
3,1,62.4058,60.9067,1.2570000000000001,1.008,41.73,62,61,VELA14,231,0.250,3.000,03,ACS,F435W,VELA14_a0.250_sunrise_cam03_ACS-F435W_SB00-pred,0.35163527727127075,8.087611198425293,0.12215244770050049
4,1,67.8567,58.2672,1.0290000000000001,0.867,-70.55,68,58,VELA14,232,0.250,3.000,04,ACS,F435W,VELA14_a0.250_sunrise_cam04_ACS-F435W_SB00-pred,0.8550692796707153,14.536177635192871,0.1465345174074173
5,1,61.1285,59.848,1.159,1.038,46.68,61,60,VELA14,233,0.250,3.000,05,ACS,F435W,VELA14_a0.250_sunrise_cam05_ACS-F435W_SB00-pred,0.1723579466342926,3.274801015853882,0.10297808051109314
6,1,67.3161,64.1805,1.119,0.943,-40.43,67,64,VELA14,234,0.250,3.000,06,ACS,F435W,VELA14_a0.250_sunrise_cam06_ACS-F435W_SB00-pred,0.6316243410110474,13.264111518859863,0.14134173095226288
7,1,59.4132,60.369,1.0590000000000002,0.91,44.52,60,60,VELA14,235,0.250,3.000,07,ACS,F435W,VELA14_a0.250_sunrise_cam07_ACS-F435W_SB00-pred,0.03503722697496414,0.45548394322395325,0.06341329962015152
8,1,70.1149,61.1298,1.0070000000000001,0.92,-62.57,70,61,VELA14,236,0.250,3.000,08,ACS,F435W,VELA14_a0.250_sunrise_cam08_ACS-F435W_SB00-pred,0.7664152979850769,14.561890602111816,0.18459254503250122
9,1,65.006,64.9766,0.883,0.872,-88.47,65,65,VELA14,237,0.250,3.000,09,ACS,F435W,VELA14_a0.250_sunrise_cam09_ACS-F435W_SB00-pred,1.044392466545105,13.577102661132812,0.09926098585128784
