,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,47.2315,62.5992,1.131,0.971,51.71,47,62,VELA21,209,0.230,3.348,00,ACS,F435W,VELA21_a0.230_sunrise_cam00_ACS-F435W_SB00-pred,0.5123401880264282,12.808504104614258,0.15329475700855255
1,2,68.813,65.8316,1.189,1.054,-44.73,69,66,VELA21,209,0.230,3.348,00,ACS,F435W,VELA21_a0.230_sunrise_cam00_ACS-F435W_SB00-pred,0.14331388473510742,2.722963809967041,0.07632309943437576
2,1,76.5678,63.4197,1.2770000000000001,1.153,14.71,77,64,VELA21,210,0.230,3.348,01,ACS,F435W,VELA21_a0.230_sunrise_cam01_ACS-F435W_SB00-pred,0.11034629493951797,2.317272186279297,0.09258827567100525
3,2,65.5666,69.1404,1.128,0.998,-75.89,66,69,VELA21,210,0.230,3.348,01,ACS,F435W,VELA21_a0.230_sunrise_cam01_ACS-F435W_SB00-pred,0.04744197800755501,0.7116296887397766,0.05343376472592354
4,3,82.698,63.9681,1.3769999999999998,1.0390000000000001,54.45,83,64,VELA21,210,0.230,3.348,01,ACS,F435W,VELA21_a0.230_sunrise_cam01_ACS-F435W_SB00-pred,0.4842696487903595,13.559550285339355,0.19649191200733185
5,1,70.3173,47.6685,1.834,1.0290000000000001,81.34,71,47,VELA21,211,0.230,3.348,02,ACS,F435W,VELA21_a0.230_sunrise_cam02_ACS-F435W_SB00-pred,0.2671308219432831,7.2125325202941895,0.1507008671760559
6,1,49.3698,63.3698,1.073,0.914,46.1,50,64,VELA21,212,0.230,3.348,03,ACS,F435W,VELA21_a0.230_sunrise_cam03_ACS-F435W_SB00-pred,0.034479375928640366,0.44823187589645386,0.06688257306814194
7,2,66.5177,69.511,0.951,0.945,48.74,67,70,VELA21,212,0.230,3.348,03,ACS,F435W,VELA21_a0.230_sunrise_cam03_ACS-F435W_SB00-pred,0.04195215180516243,0.5034258365631104,0.05218121409416199
8,1,62.3183,64.3354,1.266,0.9420000000000001,45.3,62,64,VELA21,213,0.230,3.348,04,ACS,F435W,VELA21_a0.230_sunrise_cam04_ACS-F435W_SB00-pred,0.0714864730834961,1.1437835693359375,0.054992686957120895
9,2,82.9949,67.964,1.114,1.085,-0.11,83,68,VELA21,213,0.230,3.348,04,ACS,F435W,VELA21_a0.230_sunrise_cam04_ACS-F435W_SB00-pred,0.5016509890556335,12.039623260498047,0.13936880230903625
10,3,75.6105,67.8142,1.256,1.151,-16.53,76,68,VELA21,213,0.230,3.348,04,ACS,F435W,VELA21_a0.230_sunrise_cam04_ACS-F435W_SB00-pred,0.11379305273294449,2.3896541595458984,0.09259957820177078
11,1,61.2571,61.3573,2.138,1.2830000000000001,-79.24,62,60,VELA21,214,0.230,3.348,05,ACS,F435W,VELA21_a0.230_sunrise_cam05_ACS-F435W_SB00-pred,0.05004652217030525,1.8016748428344727,0.19057594239711761
12,2,66.3967,68.9676,1.625,0.9470000000000001,-82.54,66,70,VELA21,214,0.230,3.348,05,ACS,F435W,VELA21_a0.230_sunrise_cam05_ACS-F435W_SB00-pred,0.03515820950269699,0.7031642198562622,0.07367323338985443
13,1,65.1438,65.6534,2.609,1.15,22.81,63,65,VELA21,215,0.230,3.348,06,ACS,F435W,VELA21_a0.230_sunrise_cam06_ACS-F435W_SB00-pred,0.05760021135210991,2.246408224105835,0.13020910322666168
14,2,82.7077,69.4839,1.254,1.228,-71.18,82,69,VELA21,215,0.230,3.348,06,ACS,F435W,VELA21_a0.230_sunrise_cam06_ACS-F435W_SB00-pred,0.4221896529197693,11.821310043334961,0.11502436548471451
15,1,47.9314,62.0269,1.209,1.053,41.94,48,62,VELA21,216,0.230,3.348,07,ACS,F435W,VELA21_a0.230_sunrise_cam07_ACS-F435W_SB00-pred,0.3703298270702362,8.517585754394531,0.13142402470111847
16,1,81.7619,61.3845,2.256,1.025,23.71,82,61,VELA21,217,0.230,3.348,08,ACS,F435W,VELA21_a0.230_sunrise_cam08_ACS-F435W_SB00-pred,0.41537776589393616,14.95359992980957,0.25227633118629456
17,1,64.8335,82.9062,1.1540000000000001,1.008,39.19,65,83,VELA21,218,0.230,3.348,09,ACS,F435W,VELA21_a0.230_sunrise_cam09_ACS-F435W_SB00-pred,0.44578078389167786,9.807177543640137,0.10924705862998962
18,1,76.1325,58.4596,1.137,0.996,15.56,76,58,VELA21,219,0.230,3.348,10,ACS,F435W,VELA21_a0.230_sunrise_cam10_ACS-F435W_SB00-pred,0.04376312717795372,0.6564469337463379,0.05464053526520729
19,2,82.0301,59.9263,0.895,0.887,63.37,82,60,VELA21,219,0.230,3.348,10,ACS,F435W,VELA21_a0.230_sunrise_cam10_ACS-F435W_SB00-pred,1.0368130207061768,13.478569984436035,0.13984760642051697
20,1,77.2262,66.8547,1.805,1.168,87.65,77,68,VELA21,220,0.230,3.348,11,ACS,F435W,VELA21_a0.230_sunrise_cam11_ACS-F435W_SB00-pred,0.42715582251548767,15.804765701293945,0.2282019853591919
21,1,47.7989,64.4585,1.314,1.13,-39.71,48,65,VELA21,221,0.230,3.348,12,ACS,F435W,VELA21_a0.230_sunrise_cam12_ACS-F435W_SB00-pred,0.09230489283800125,2.492232084274292,0.12160834670066833
22,1,68.3018,66.4458,1.216,0.977,-28.31,69,67,VELA21,222,0.230,3.348,13,ACS,F435W,VELA21_a0.230_sunrise_cam13_ACS-F435W_SB00-pred,0.06304627656936646,1.0087404251098633,0.06110909581184387
23,2,47.5647,66.8002,1.1320000000000001,1.053,-49.49,47,67,VELA21,222,0.230,3.348,13,ACS,F435W,VELA21_a0.230_sunrise_cam13_ACS-F435W_SB00-pred,0.5469699501991272,12.03333854675293,0.1335880607366562
24,1,56.0984,62.575,1.207,0.971,14.63,56,63,VELA21,223,0.230,3.348,14,ACS,F435W,VELA21_a0.230_sunrise_cam14_ACS-F435W_SB00-pred,0.09885554760694504,2.2736775875091553,0.0879264548420906
25,2,48.746,66.0808,1.462,1.15,-14.99,49,66,VELA21,223,0.230,3.348,14,ACS,F435W,VELA21_a0.230_sunrise_cam14_ACS-F435W_SB00-pred,0.20226792991161346,5.461234092712402,0.14078034460544586
