,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,90.7986,35.8957,0.826,0.804,-67.38,90,36,VELA10,0,0.200,4.000,00,ACS,F606W,VELA10_a0.200_sunrise_cam00_ACS-F606W_SB00-pred,0.8058128952980042,8.86394214630127,0.13484425842761993
1,2,90.8487,123.5026,0.728,0.701,-1.44,90,124,VELA10,0,0.200,4.000,00,ACS,F606W,VELA10_a0.200_sunrise_cam00_ACS-F606W_SB00-pred,0.32310110330581665,2.584808826446533,0.11120390892028809
2,3,64.4889,65.2574,0.9520000000000001,0.934,7.94,65,66,VELA10,0,0.200,4.000,00,ACS,F606W,VELA10_a0.200_sunrise_cam00_ACS-F606W_SB00-pred,0.19988320767879486,2.7983648777008057,0.12935198843479156
3,4,58.6085,64.5128,1.131,0.888,15.44,58,65,VELA10,0,0.200,4.000,00,ACS,F606W,VELA10_a0.200_sunrise_cam00_ACS-F606W_SB00-pred,0.43341535329818726,7.80147647857666,0.21613115072250366
4,1,90.7986,35.8957,0.826,0.804,-67.39,90,36,VELA10,1,0.200,4.000,01,ACS,F606W,VELA10_a0.200_sunrise_cam01_ACS-F606W_SB00-pred,0.8058078289031982,8.863885879516602,0.1348433643579483
5,2,90.8486,123.5026,0.728,0.7,-1.44,90,124,VELA10,1,0.200,4.000,01,ACS,F606W,VELA10_a0.200_sunrise_cam01_ACS-F606W_SB00-pred,0.3231589198112488,2.5852713584899902,0.11120390892028809
6,3,65.6242,62.2319,1.636,0.975,-74.93,66,63,VELA10,1,0.200,4.000,01,ACS,F606W,VELA10_a0.200_sunrise_cam01_ACS-F606W_SB00-pred,0.2091856151819229,5.438826084136963,0.20409461855888367
7,4,58.658,63.5417,1.171,0.986,-2.25,58,64,VELA10,1,0.200,4.000,01,ACS,F606W,VELA10_a0.200_sunrise_cam01_ACS-F606W_SB00-pred,0.1721472293138504,3.0986502170562744,0.09789489954710007
8,1,90.7986,35.8957,0.826,0.804,-67.4,90,36,VELA10,2,0.200,4.000,02,ACS,F606W,VELA10_a0.200_sunrise_cam02_ACS-F606W_SB00-pred,0.8056503534317017,8.862154006958008,0.1348438858985901
9,2,90.8486,123.5026,0.728,0.7,-1.43,90,124,VELA10,2,0.200,4.000,02,ACS,F606W,VELA10_a0.200_sunrise_cam02_ACS-F606W_SB00-pred,0.3231353759765625,2.5850830078125,0.11120390892028809
10,3,58.8902,74.173,0.8320000000000001,0.6759999999999999,42.95,59,74,VELA10,2,0.200,4.000,02,ACS,F606W,VELA10_a0.200_sunrise_cam02_ACS-F606W_SB00-pred,0.11932702362537384,0.9546161890029907,0.04852098226547241
11,4,66.5572,59.432,1.584,1.036,-87.47,67,59,VELA10,2,0.200,4.000,02,ACS,F606W,VELA10_a0.200_sunrise_cam02_ACS-F606W_SB00-pred,0.398069828748703,11.942094802856445,0.23735836148262024
12,1,90.7985,35.8956,0.826,0.804,-67.39,90,36,VELA10,3,0.200,4.000,03,ACS,F606W,VELA10_a0.200_sunrise_cam03_ACS-F606W_SB00-pred,0.8050540685653687,8.855594635009766,0.13485106825828552
13,2,90.8487,123.5026,0.728,0.701,-1.44,90,124,VELA10,3,0.200,4.000,03,ACS,F606W,VELA10_a0.200_sunrise_cam03_ACS-F606W_SB00-pred,0.3231557309627533,2.5852458477020264,0.11120390892028809
14,3,58.9127,74.1619,0.8440000000000001,0.672,43.47,59,74,VELA10,3,0.200,4.000,03,ACS,F606W,VELA10_a0.200_sunrise_cam03_ACS-F606W_SB00-pred,0.09703134745359421,0.7762507796287537,0.04620647802948952
15,4,66.6087,61.2437,1.561,1.047,-70.75,67,61,VELA10,3,0.200,4.000,03,ACS,F606W,VELA10_a0.200_sunrise_cam03_ACS-F606W_SB00-pred,0.21034352481365204,5.468931674957275,0.17798519134521484
16,1,90.7986,35.8957,0.826,0.804,-67.37,90,36,VELA10,4,0.200,4.000,04,ACS,F606W,VELA10_a0.200_sunrise_cam04_ACS-F606W_SB00-pred,0.8057985901832581,8.863784790039062,0.1348433941602707
17,2,90.8488,123.5026,0.728,0.701,-1.44,90,124,VELA10,4,0.200,4.000,04,ACS,F606W,VELA10_a0.200_sunrise_cam04_ACS-F606W_SB00-pred,0.32315632700920105,2.5852506160736084,0.11120390892028809
18,3,57.7503,73.6879,1.079,0.8740000000000001,24.15,58,74,VELA10,4,0.200,4.000,04,ACS,F606W,VELA10_a0.200_sunrise_cam04_ACS-F606W_SB00-pred,0.15094029903411865,2.113164186477661,0.067445769906044
19,4,65.3514,64.2878,1.528,0.929,-53.48,65,64,VELA10,4,0.200,4.000,04,ACS,F606W,VELA10_a0.200_sunrise_cam04_ACS-F606W_SB00-pred,0.4080459177494049,11.017239570617676,0.2944956123828888
20,1,90.7986,35.8957,0.826,0.804,-67.38,90,36,VELA10,5,0.200,4.000,05,ACS,F606W,VELA10_a0.200_sunrise_cam05_ACS-F606W_SB00-pred,0.8058145046234131,8.863959312438965,0.1348441243171692
21,2,90.8487,123.5026,0.728,0.701,-1.44,90,124,VELA10,5,0.200,4.000,05,ACS,F606W,VELA10_a0.200_sunrise_cam05_ACS-F606W_SB00-pred,0.323147714138031,2.585181713104248,0.11120390892028809
22,3,59.5243,74.3684,0.9640000000000001,0.823,16.39,60,74,VELA10,5,0.200,4.000,05,ACS,F606W,VELA10_a0.200_sunrise_cam05_ACS-F606W_SB00-pred,0.09787345677614212,1.0766080617904663,0.06045187637209892
23,4,64.6543,64.5344,1.2109999999999999,1.074,-66.85,65,65,VELA10,5,0.200,4.000,05,ACS,F606W,VELA10_a0.200_sunrise_cam05_ACS-F606W_SB00-pred,0.31754419207572937,7.621060371398926,0.2139604538679123
24,5,59.0126,64.0322,0.9470000000000001,0.7609999999999999,0.47,59,64,VELA10,5,0.200,4.000,05,ACS,F606W,VELA10_a0.200_sunrise_cam05_ACS-F606W_SB00-pred,0.10583631694316864,1.0583631992340088,0.04820221662521362
25,1,90.7986,35.8957,0.826,0.804,-67.38,90,36,VELA10,6,0.200,4.000,06,ACS,F606W,VELA10_a0.200_sunrise_cam06_ACS-F606W_SB00-pred,0.8057851195335388,8.863636016845703,0.13484404981136322
26,2,90.8487,123.5026,0.728,0.701,-1.45,90,124,VELA10,6,0.200,4.000,06,ACS,F606W,VELA10_a0.200_sunrise_cam06_ACS-F606W_SB00-pred,0.3230917453765869,2.5847339630126953,0.11120390892028809
27,3,65.3307,60.2705,2.153,1.161,-88.27,65,59,VELA10,6,0.200,4.000,06,ACS,F606W,VELA10_a0.200_sunrise_cam06_ACS-F606W_SB00-pred,0.21068550646305084,8.006049156188965,0.26571545004844666
28,1,90.7986,35.8957,0.826,0.804,-67.38,90,36,VELA10,7,0.200,4.000,07,ACS,F606W,VELA10_a0.200_sunrise_cam07_ACS-F606W_SB00-pred,0.8058262467384338,8.864089012145996,0.13484326004981995
29,2,90.8487,123.5026,0.728,0.701,-1.44,90,124,VELA10,7,0.200,4.000,07,ACS,F606W,VELA10_a0.200_sunrise_cam07_ACS-F606W_SB00-pred,0.32315170764923096,2.5852136611938477,0.11120390892028809
30,3,58.6953,63.7511,1.104,0.9840000000000001,-6.06,59,63,VELA10,7,0.200,4.000,07,ACS,F606W,VELA10_a0.200_sunrise_cam07_ACS-F606W_SB00-pred,0.4808846414089203,9.617692947387695,0.18582138419151306
