,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,62.0131,63.1028,1.25,0.8290000000000001,5.03,62,64,VELA28,304,0.270,2.704,00,ACS,F435W,VELA28_a0.270_sunrise_cam00_ACS-F435W_SB00-pred,0.8889720439910889,16.89046859741211,0.320517361164093
1,1,67.3013,54.9186,0.91,0.856,-68.05,67,55,VELA28,305,0.270,2.704,01,ACS,F435W,VELA28_a0.270_sunrise_cam01_ACS-F435W_SB00-pred,0.8429198861122131,12.643797874450684,0.1178366094827652
2,2,60.8719,64.4721,1.104,1.022,61.03,61,65,VELA28,305,0.270,2.704,01,ACS,F435W,VELA28_a0.270_sunrise_cam01_ACS-F435W_SB00-pred,0.46948307752609253,8.920178413391113,0.07805774360895157
3,3,67.4221,62.1397,1.261,0.998,-74.5,68,62,VELA28,305,0.270,2.704,01,ACS,F435W,VELA28_a0.270_sunrise_cam01_ACS-F435W_SB00-pred,0.05630125105381012,0.9571212530136108,0.13732489943504333
4,1,64.8867,62.0024,0.85,0.813,-17.63,64,62,VELA28,306,0.270,2.704,02,ACS,F435W,VELA28_a0.270_sunrise_cam02_ACS-F435W_SB00-pred,1.491937279701233,17.903247833251953,0.1869671791791916
5,1,62.891,54.8316,0.838,0.802,-4.5,63,55,VELA28,307,0.270,2.704,03,ACS,F435W,VELA28_a0.270_sunrise_cam03_ACS-F435W_SB00-pred,1.3999780416488647,16.79973602294922,0.11764004826545715
6,2,69.9615,64.7789,1.028,0.938,89.56,70,65,VELA28,307,0.270,2.704,03,ACS,F435W,VELA28_a0.270_sunrise_cam03_ACS-F435W_SB00-pred,0.23857007920742035,3.5785512924194336,0.06083524227142334
7,3,62.9385,63.1682,1.415,0.889,89.44,64,63,VELA28,307,0.270,2.704,03,ACS,F435W,VELA28_a0.270_sunrise_cam03_ACS-F435W_SB00-pred,0.08744701743125916,1.486599326133728,0.14192400872707367
8,1,67.6839,55.4696,0.9640000000000001,0.862,-36.46,67,55,VELA28,308,0.270,2.704,04,ACS,F435W,VELA28_a0.270_sunrise_cam04_ACS-F435W_SB00-pred,0.8239303827285767,13.182886123657227,0.22832295298576355
9,2,67.0071,61.8979,0.98,0.897,88.66,67,62,VELA28,308,0.270,2.704,04,ACS,F435W,VELA28_a0.270_sunrise_cam04_ACS-F435W_SB00-pred,0.8203963041305542,11.48554801940918,0.09529820084571838
10,1,61.1324,60.0307,0.988,0.841,-49.17,61,60,VELA28,309,0.270,2.704,05,ACS,F435W,VELA28_a0.270_sunrise_cam05_ACS-F435W_SB00-pred,0.8487889170646667,13.580622673034668,0.2004009485244751
11,2,63.9037,64.229,0.934,0.8140000000000001,-6.01,64,65,VELA28,309,0.270,2.704,05,ACS,F435W,VELA28_a0.270_sunrise_cam05_ACS-F435W_SB00-pred,0.6619266271591187,8.605046272277832,0.10306672006845474
12,1,67.7411,54.4706,1.103,0.85,89.67,67,54,VELA28,310,0.270,2.704,06,ACS,F435W,VELA28_a0.270_sunrise_cam06_ACS-F435W_SB00-pred,0.696864664554596,12.543563842773438,0.13537536561489105
13,2,67.2509,63.3599,1.125,0.872,-86.76,67,63,VELA28,310,0.270,2.704,06,ACS,F435W,VELA28_a0.270_sunrise_cam06_ACS-F435W_SB00-pred,0.5790839195251465,9.844427108764648,0.1356113702058792
14,3,60.6091,63.9376,1.03,0.755,15.08,61,64,VELA28,310,0.270,2.704,06,ACS,F435W,VELA28_a0.270_sunrise_cam06_ACS-F435W_SB00-pred,0.08614520728588104,0.9475972652435303,0.04372192919254303
