,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,65.8208,66.1544,0.914,0.871,51.93,66,67,VELA27,286,0.250,3.000,01,ACS,F435W,VELA27_a0.250_sunrise_cam01_ACS-F435W_SB00-pred,0.14777745306491852,1.6255520582199097,0.05133391544222832
1,1,65.8465,66.8401,0.8959999999999999,0.883,-45.88,66,66,VELA27,289,0.250,3.000,04,ACS,F435W,VELA27_a0.250_sunrise_cam04_ACS-F435W_SB00-pred,0.1709061861038208,1.8799680471420288,0.05659618228673935
2,1,65.9313,66.5498,1.005,0.919,0.56,66,66,VELA27,291,0.250,3.000,06,ACS,F435W,VELA27_a0.250_sunrise_cam06_ACS-F435W_SB00-pred,0.47669875621795654,7.627180099487305,0.07965384423732758
3,1,65.1276,66.5465,1.0290000000000001,0.929,1.51,65,66,VELA27,297,0.250,3.000,12,ACS,F435W,VELA27_a0.250_sunrise_cam12_ACS-F435W_SB00-pred,0.4251701831817627,6.802722930908203,0.0840456485748291
4,1,80.2137,63.6673,1.011,0.94,-72.4,80,64,VELA27,342,0.280,2.571,00,ACS,F435W,VELA27_a0.280_sunrise_cam00_ACS-F435W_SB00-pred,0.632143497467041,10.114295959472656,0.09946463257074356
5,1,65.9658,64.9905,0.8009999999999999,0.7909999999999999,53.69,66,65,VELA27,343,0.280,2.571,01,ACS,F435W,VELA27_a0.280_sunrise_cam01_ACS-F435W_SB00-pred,1.8662883043289185,16.796594619750977,0.09304267168045044
6,1,60.7779,50.7708,0.992,0.98,-10.07,61,51,VELA27,344,0.280,2.571,02,ACS,F435W,VELA27_a0.280_sunrise_cam02_ACS-F435W_SB00-pred,0.5546147227287292,9.428450584411621,0.08991996943950653
7,1,63.984,65.4509,1.006,0.9490000000000001,5.54,64,66,VELA27,345,0.280,2.571,03,ACS,F435W,VELA27_a0.280_sunrise_cam03_ACS-F435W_SB00-pred,0.5265491008758545,8.424785614013672,0.0817682072520256
8,1,66.2895,75.9638,1.0,0.856,2.36,66,76,VELA27,346,0.280,2.571,04,ACS,F435W,VELA27_a0.280_sunrise_cam04_ACS-F435W_SB00-pred,0.8260258436203003,13.216413497924805,0.09838396310806274
9,1,65.9738,66.2531,0.789,0.7509999999999999,20.78,66,66,VELA27,348,0.280,2.571,06,ACS,F435W,VELA27_a0.280_sunrise_cam06_ACS-F435W_SB00-pred,1.583439588546753,15.834395408630371,0.10676707327365875
10,1,78.9979,64.9409,0.8009999999999999,0.792,44.75,79,65,VELA27,350,0.280,2.571,08,ACS,F435W,VELA27_a0.280_sunrise_cam08_ACS-F435W_SB00-pred,1.8480629920959473,16.632566452026367,0.08569943159818649
11,1,65.7669,61.9812,0.9570000000000001,0.877,55.92,66,62,VELA27,351,0.280,2.571,09,ACS,F435W,VELA27_a0.280_sunrise_cam09_ACS-F435W_SB00-pred,0.36335596442222595,4.72362756729126,0.07092083990573883
12,1,76.9434,64.9728,0.86,0.856,57.6,77,65,VELA27,352,0.280,2.571,10,ACS,F435W,VELA27_a0.280_sunrise_cam10_ACS-F435W_SB00-pred,1.1142029762268066,14.484639167785645,0.09982188791036606
13,1,76.042,55.9942,0.895,0.893,32.21,76,56,VELA27,353,0.280,2.571,11,ACS,F435W,VELA27_a0.280_sunrise_cam11_ACS-F435W_SB00-pred,0.936958909034729,12.180465698242188,0.08586398512125015
14,1,77.074,63.0806,0.938,0.887,68.89,77,63,VELA27,354,0.280,2.571,12,ACS,F435W,VELA27_a0.280_sunrise_cam12_ACS-F435W_SB00-pred,0.6337600946426392,8.872641563415527,0.08661164343357086
15,1,55.7063,68.9247,0.958,0.862,-8.38,55,69,VELA27,355,0.280,2.571,13,ACS,F435W,VELA27_a0.280_sunrise_cam13_ACS-F435W_SB00-pred,0.8466033339500427,12.699049949645996,0.08901063352823257
16,1,77.9473,64.1097,0.878,0.86,66.06,78,64,VELA27,356,0.280,2.571,14,ACS,F435W,VELA27_a0.280_sunrise_cam14_ACS-F435W_SB00-pred,0.9471938014030457,12.313519477844238,0.0875583216547966
17,1,51.798,70.9787,0.91,0.7809999999999999,4.06,52,70,VELA27,357,0.280,2.571,15,ACS,F435W,VELA27_a0.280_sunrise_cam15_ACS-F435W_SB00-pred,0.15758579969406128,1.5758579969406128,0.06043624132871628
18,1,66.5992,68.0271,0.87,0.7829999999999999,10.14,66,68,VELA27,358,0.280,2.571,16,ACS,F435W,VELA27_a0.280_sunrise_cam16_ACS-F435W_SB00-pred,1.2536941766738892,15.044329643249512,0.11568508297204971
19,1,67.9623,60.046,0.8909999999999999,0.8809999999999999,39.09,68,60,VELA27,359,0.280,2.571,17,ACS,F435W,VELA27_a0.280_sunrise_cam17_ACS-F435W_SB00-pred,0.8637632727622986,11.228922843933105,0.08438251167535782
20,1,78.3428,59.323,0.965,0.861,44.82,78,60,VELA27,360,0.280,2.571,18,ACS,F435W,VELA27_a0.280_sunrise_cam18_ACS-F435W_SB00-pred,0.5377455949783325,6.990692615509033,0.07974317669868469
21,1,64.7404,66.6874,0.963,0.858,72.13,64,66,VELA27,366,0.290,2.448,05,ACS,F435W,VELA27_a0.290_sunrise_cam05_ACS-F435W_SB00-pred,0.16897745430469513,2.0277295112609863,0.0684763491153717
