,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,57.0188,61.1011,1.145,1.078,-11.64,57,61,VELA16,228,0.230,3.348,00,ACS,F435W,VELA16_a0.230_sunrise_cam00_ACS-F435W_SB00-pred,0.44014281034469604,9.683141708374023,0.10501541942358017
1,2,68.1705,65.922,1.143,1.0,44.01,68,66,VELA16,228,0.230,3.348,00,ACS,F435W,VELA16_a0.230_sunrise_cam00_ACS-F435W_SB00-pred,0.5485904216766357,11.52039909362793,0.14606666564941406
2,1,64.6235,66.163,1.276,1.06,2.18,65,66,VELA16,230,0.230,3.348,02,ACS,F435W,VELA16_a0.230_sunrise_cam02_ACS-F435W_SB00-pred,0.2897186577320099,10.429871559143066,0.16429546475410461
3,1,66.1599,59.9076,1.214,1.05,46.18,66,61,VELA16,232,0.230,3.348,04,ACS,F435W,VELA16_a0.230_sunrise_cam04_ACS-F435W_SB00-pred,0.15074127912521362,2.864084243774414,0.10385501384735107
4,2,65.4965,66.376,1.381,1.025,-15.44,65,66,VELA16,232,0.230,3.348,04,ACS,F435W,VELA16_a0.230_sunrise_cam04_ACS-F435W_SB00-pred,0.25605154037475586,5.889185428619385,0.14845693111419678
5,1,67.6428,65.4035,2.002,0.998,32.7,67,65,VELA16,233,0.230,3.348,05,ACS,F435W,VELA16_a0.230_sunrise_cam05_ACS-F435W_SB00-pred,0.09957322478294373,2.688477039337158,0.09866032004356384
6,1,63.8443,65.2245,1.15,1.023,26.85,63,65,VELA16,234,0.230,3.348,06,ACS,F435W,VELA16_a0.230_sunrise_cam06_ACS-F435W_SB00-pred,0.16172288358211517,2.9110119342803955,0.06775461882352829
7,1,66.2953,64.5075,1.032,1.01,-87.72,66,65,VELA16,235,0.230,3.348,07,ACS,F435W,VELA16_a0.230_sunrise_cam07_ACS-F435W_SB00-pred,0.057719163596630096,0.8080682754516602,0.06024322658777237
8,1,64.5675,62.3154,1.341,0.9590000000000001,-36.25,65,62,VELA16,237,0.230,3.348,09,ACS,F435W,VELA16_a0.230_sunrise_cam09_ACS-F435W_SB00-pred,0.5118021965026855,11.77145004272461,0.13950248062610626
9,1,66.9879,63.4047,1.021,0.96,-7.52,67,63,VELA16,238,0.230,3.348,10,ACS,F435W,VELA16_a0.230_sunrise_cam10_ACS-F435W_SB00-pred,0.4638811945915222,7.4220991134643555,0.07760454714298248
10,2,58.1696,67.3216,1.043,0.941,-14.47,58,68,VELA16,238,0.230,3.348,10,ACS,F435W,VELA16_a0.230_sunrise_cam10_ACS-F435W_SB00-pred,0.5514875054359436,9.375288009643555,0.08977019786834717
11,1,71.3212,58.8601,1.242,1.08,-69.2,71,59,VELA16,239,0.230,3.348,11,ACS,F435W,VELA16_a0.230_sunrise_cam11_ACS-F435W_SB00-pred,0.1480962634086609,2.9619252681732178,0.10351637005805969
12,2,66.3668,76.3902,1.045,0.9009999999999999,44.41,66,77,VELA16,239,0.230,3.348,11,ACS,F435W,VELA16_a0.230_sunrise_cam11_ACS-F435W_SB00-pred,0.10130104422569275,1.3169136047363281,0.04610959440469742
13,3,63.2897,67.049,1.264,1.014,3.94,63,67,VELA16,239,0.230,3.348,11,ACS,F435W,VELA16_a0.230_sunrise_cam11_ACS-F435W_SB00-pred,0.554718554019928,13.313244819641113,0.14938773214817047
14,1,66.3796,65.1954,1.335,1.105,11.3,66,65,VELA16,240,0.230,3.348,12,ACS,F435W,VELA16_a0.230_sunrise_cam12_ACS-F435W_SB00-pred,0.17671416699886322,4.064425945281982,0.10661502927541733
15,1,72.2012,67.1122,1.249,1.077,16.67,72,67,VELA16,241,0.230,3.348,13,ACS,F435W,VELA16_a0.230_sunrise_cam13_ACS-F435W_SB00-pred,0.33956170082092285,8.149480819702148,0.10615985095500946
16,1,66.6867,65.1166,1.264,1.057,26.03,67,65,VELA16,242,0.230,3.348,14,ACS,F435W,VELA16_a0.230_sunrise_cam14_ACS-F435W_SB00-pred,0.14450396597385406,3.6125991344451904,0.10057941824197769
17,1,63.9788,64.499,1.179,0.992,0.71,63,64,VELA16,243,0.230,3.348,15,ACS,F435W,VELA16_a0.230_sunrise_cam15_ACS-F435W_SB00-pred,0.07081533223390579,1.1330453157424927,0.09065987169742584
18,1,62.6363,62.7511,1.2819999999999998,1.012,-42.83,62,63,VELA16,244,0.230,3.348,16,ACS,F435W,VELA16_a0.230_sunrise_cam16_ACS-F435W_SB00-pred,0.539730429649353,12.413799285888672,0.12637513875961304
19,2,70.3292,69.9948,1.295,1.146,-12.55,70,70,VELA16,244,0.230,3.348,16,ACS,F435W,VELA16_a0.230_sunrise_cam16_ACS-F435W_SB00-pred,0.2912587523460388,7.281468868255615,0.1130603700876236
20,1,67.4958,61.4829,1.068,0.9590000000000001,46.63,68,62,VELA16,245,0.230,3.348,17,ACS,F435W,VELA16_a0.230_sunrise_cam17_ACS-F435W_SB00-pred,0.16263742744922638,2.439561367034912,0.09142109006643295
21,2,64.3178,65.9697,1.3430000000000002,1.189,-12.13,64,66,VELA16,245,0.230,3.348,17,ACS,F435W,VELA16_a0.230_sunrise_cam17_ACS-F435W_SB00-pred,0.20317740738391876,4.87625789642334,0.1376170516014099
22,1,61.906,63.72,1.181,1.071,74.49,62,63,VELA16,246,0.230,3.348,18,ACS,F435W,VELA16_a0.230_sunrise_cam18_ACS-F435W_SB00-pred,0.4807215929031372,11.056596755981445,0.13277868926525116
23,2,72.2591,68.7647,1.252,1.129,-48.37,72,69,VELA16,246,0.230,3.348,18,ACS,F435W,VELA16_a0.230_sunrise_cam18_ACS-F435W_SB00-pred,0.41711363196372986,10.844954490661621,0.12378009408712387
24,1,67.3871,66.6366,1.033,0.9059999999999999,-45.53,67,66,VELA16,249,0.240,3.167,02,ACS,F435W,VELA16_a0.240_sunrise_cam02_ACS-F435W_SB00-pred,0.08852594345808029,1.1508373022079468,0.06621754169464111
25,1,65.5168,62.6818,0.998,0.992,18.82,65,62,VELA16,252,0.240,3.167,05,ACS,F435W,VELA16_a0.240_sunrise_cam05_ACS-F435W_SB00-pred,0.11467640101909637,1.6054695844650269,0.07004513591527939
26,1,63.6511,67.2739,1.13,0.9690000000000001,-4.4,64,68,VELA16,261,0.240,3.167,14,ACS,F435W,VELA16_a0.240_sunrise_cam14_ACS-F435W_SB00-pred,0.10102594643831253,1.5153892040252686,0.06750801205635071
27,1,66.678,66.3699,1.172,0.9179999999999999,12.29,67,67,VELA16,262,0.240,3.167,15,ACS,F435W,VELA16_a0.240_sunrise_cam15_ACS-F435W_SB00-pred,0.3690142333507538,6.642256259918213,0.09869226813316345
28,1,65.5082,66.0079,0.862,0.7040000000000001,-0.15,66,66,VELA16,263,0.240,3.167,16,ACS,F435W,VELA16_a0.240_sunrise_cam16_ACS-F435W_SB00-pred,0.04027002304792404,0.32216018438339233,0.03421679139137268
29,1,65.5183,66.2993,1.016,0.991,8.54,66,67,VELA16,264,0.240,3.167,17,ACS,F435W,VELA16_a0.240_sunrise_cam17_ACS-F435W_SB00-pred,0.09251520782709122,1.2952128648757935,0.06535100936889648
