,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,70.6509,69.6228,1.031,0.8859999999999999,44.9,71,70,VELA25,268,0.250,3.000,02,ACS,F435W,VELA25_a0.250_sunrise_cam02_ACS-F435W_SB00-pred,0.091476209461689,1.1891907453536987,0.05198044702410698
1,1,63.5161,67.3327,1.005,0.992,2.45,63,67,VELA25,269,0.250,3.000,03,ACS,F435W,VELA25_a0.250_sunrise_cam03_ACS-F435W_SB00-pred,0.10593616962432861,1.4831063747406006,0.06660290062427521
2,1,71.9921,65.9153,1.077,0.753,15.2,72,66,VELA25,271,0.250,3.000,05,ACS,F435W,VELA25_a0.250_sunrise_cam05_ACS-F435W_SB00-pred,0.09356806427240372,1.0292487144470215,0.04032231494784355
3,1,70.522,68.309,0.996,0.9740000000000001,32.46,70,68,VELA25,274,0.250,3.000,08,ACS,F435W,VELA25_a0.250_sunrise_cam08_ACS-F435W_SB00-pred,0.10516879707574844,1.4723631143569946,0.05760888755321503
4,1,64.1802,65.8306,1.153,0.978,-41.98,64,66,VELA25,275,0.250,3.000,09,ACS,F435W,VELA25_a0.250_sunrise_cam09_ACS-F435W_SB00-pred,0.07594658434391022,1.1391987800598145,0.07439906150102615
5,1,65.7785,66.4463,0.938,0.8,27.68,66,66,VELA25,280,0.250,3.000,14,ACS,F435W,VELA25_a0.250_sunrise_cam14_ACS-F435W_SB00-pred,0.029166897758841515,0.2625020742416382,0.05662838742136955
6,1,65.1908,65.0004,0.96,0.779,-0.28,65,64,VELA25,282,0.250,3.000,16,ACS,F435W,VELA25_a0.250_sunrise_cam16_ACS-F435W_SB00-pred,0.052433907985687256,0.5243390798568726,0.047395214438438416
7,1,71.5319,68.5273,1.246,0.971,2.55,71,69,VELA25,284,0.250,3.000,18,ACS,F435W,VELA25_a0.250_sunrise_cam18_ACS-F435W_SB00-pred,0.26729461550712585,5.345892429351807,0.07762610912322998
8,1,56.533,63.1755,1.931,0.998,-6.61,56,64,VELA25,285,0.270,2.704,00,ACS,F435W,VELA25_a0.270_sunrise_cam00_ACS-F435W_SB00-pred,0.5380197763442993,17.75465202331543,0.2081291824579239
9,2,64.9701,64.8576,1.0490000000000002,0.992,-62.47,65,64,VELA25,285,0.270,2.704,00,ACS,F435W,VELA25_a0.270_sunrise_cam00_ACS-F435W_SB00-pred,0.36288750171661377,6.531975269317627,0.10035012662410736
10,3,76.4713,64.3466,1.03,0.925,-42.39,77,65,VELA25,285,0.270,2.704,00,ACS,F435W,VELA25_a0.270_sunrise_cam00_ACS-F435W_SB00-pred,0.26684409379959106,4.002661228179932,0.07138090580701828
11,1,63.4936,64.8706,0.978,0.856,9.33,63,65,VELA25,286,0.270,2.704,01,ACS,F435W,VELA25_a0.270_sunrise_cam01_ACS-F435W_SB00-pred,0.9874285459518433,16.786285400390625,0.20040099322795868
12,1,65.2268,65.0516,0.93,0.9059999999999999,29.41,65,65,VELA25,287,0.270,2.704,02,ACS,F435W,VELA25_a0.270_sunrise_cam02_ACS-F435W_SB00-pred,0.7527288198471069,12.043661117553711,0.11565887928009033
13,2,72.7044,70.6236,1.5090000000000001,0.94,48.77,73,71,VELA25,287,0.270,2.704,02,ACS,F435W,VELA25_a0.270_sunrise_cam02_ACS-F435W_SB00-pred,0.45756009221076965,11.43900203704834,0.18254035711288452
14,1,66.9005,63.6778,1.0659999999999998,1.005,-69.71,67,63,VELA25,288,0.270,2.704,03,ACS,F435W,VELA25_a0.270_sunrise_cam03_ACS-F435W_SB00-pred,0.3104642927646637,5.588357448577881,0.10658968985080719
15,2,61.9776,65.5599,1.065,0.9990000000000001,-8.85,62,66,VELA25,288,0.270,2.704,03,ACS,F435W,VELA25_a0.270_sunrise_cam03_ACS-F435W_SB00-pred,0.5260464549064636,9.468835830688477,0.09840856492519379
16,1,63.8828,71.8754,0.9109999999999999,0.857,56.98,64,72,VELA25,289,0.270,2.704,04,ACS,F435W,VELA25_a0.270_sunrise_cam04_ACS-F435W_SB00-pred,0.9678769707679749,13.550277709960938,0.12289777398109436
17,1,57.4548,60.2691,1.3330000000000002,0.9329999999999999,43.62,57,60,VELA25,290,0.270,2.704,05,ACS,F435W,VELA25_a0.270_sunrise_cam05_ACS-F435W_SB00-pred,0.6093541979789734,14.01514720916748,0.15089653432369232
18,2,64.9735,65.2372,0.978,0.97,-9.48,65,66,VELA25,290,0.270,2.704,05,ACS,F435W,VELA25_a0.270_sunrise_cam05_ACS-F435W_SB00-pred,0.5149043202400208,8.753373146057129,0.10736776143312454
19,1,63.7203,66.923,0.907,0.8440000000000001,-1.75,63,67,VELA25,291,0.270,2.704,06,ACS,F435W,VELA25_a0.270_sunrise_cam06_ACS-F435W_SB00-pred,0.9988330602645874,14.98249626159668,0.1695067584514618
20,1,60.1291,65.8643,1.054,0.7609999999999999,-10.27,60,66,VELA25,292,0.270,2.704,07,ACS,F435W,VELA25_a0.270_sunrise_cam07_ACS-F435W_SB00-pred,0.09781503677368164,1.075965404510498,0.06111110746860504
