,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,90.9568,14.3785,0.882,0.858,75.76,91,15,VELA16,0,0.100,9.000,00,ACS,F606W,VELA16_a0.100_sunrise_cam00_ACS-F606W_SB00-pred,0.5247806906700134,7.346930027008057,0.12041120231151581
1,2,91.4459,95.686,0.9059999999999999,0.875,26.66,91,95,VELA16,0,0.100,9.000,00,ACS,F606W,VELA16_a0.100_sunrise_cam00_ACS-F606W_SB00-pred,0.39895161986351013,5.585322856903076,0.11608157306909561
2,1,90.9568,14.3785,0.882,0.858,75.76,91,15,VELA16,1,0.100,9.000,01,ACS,F606W,VELA16_a0.100_sunrise_cam01_ACS-F606W_SB00-pred,0.5247806906700134,7.346930027008057,0.12041120231151581
3,2,91.4459,95.686,0.9059999999999999,0.875,26.66,91,95,VELA16,1,0.100,9.000,01,ACS,F606W,VELA16_a0.100_sunrise_cam01_ACS-F606W_SB00-pred,0.39895161986351013,5.585322856903076,0.11608157306909561
4,1,90.9568,14.3785,0.882,0.858,75.76,91,15,VELA16,2,0.100,9.000,02,ACS,F606W,VELA16_a0.100_sunrise_cam02_ACS-F606W_SB00-pred,0.5247806906700134,7.346930027008057,0.12041120231151581
5,2,91.4459,95.686,0.9059999999999999,0.875,26.66,91,95,VELA16,2,0.100,9.000,02,ACS,F606W,VELA16_a0.100_sunrise_cam02_ACS-F606W_SB00-pred,0.39895161986351013,5.585322856903076,0.11608157306909561
6,1,90.9568,14.3785,0.882,0.858,75.76,91,15,VELA16,3,0.100,9.000,03,ACS,F606W,VELA16_a0.100_sunrise_cam03_ACS-F606W_SB00-pred,0.5247806906700134,7.346930027008057,0.12041120231151581
7,2,91.4459,95.686,0.9059999999999999,0.875,26.66,91,95,VELA16,3,0.100,9.000,03,ACS,F606W,VELA16_a0.100_sunrise_cam03_ACS-F606W_SB00-pred,0.39895161986351013,5.585322856903076,0.11608157306909561
8,1,90.9568,14.3785,0.882,0.858,75.76,91,15,VELA16,4,0.100,9.000,04,ACS,F606W,VELA16_a0.100_sunrise_cam04_ACS-F606W_SB00-pred,0.5247806906700134,7.346930027008057,0.12041120231151581
9,2,91.4459,95.686,0.9059999999999999,0.875,26.66,91,95,VELA16,4,0.100,9.000,04,ACS,F606W,VELA16_a0.100_sunrise_cam04_ACS-F606W_SB00-pred,0.39895161986351013,5.585322856903076,0.11608157306909561
