,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,90.9337,21.7202,0.79,0.777,-82.4,90,22,VELA04,0,0.120,7.333,00,ACS,F606W,VELA04_a0.120_sunrise_cam00_ACS-F606W_SB00-pred,0.9472047090530396,9.472046852111816,0.13324615359306335
1,2,91.8574,85.4876,0.934,0.865,88.84,92,86,VELA04,0,0.120,7.333,00,ACS,F606W,VELA04_a0.120_sunrise_cam00_ACS-F606W_SB00-pred,0.5954548120498657,8.3363676071167,0.15636874735355377
2,1,90.9337,21.7202,0.79,0.777,-82.4,90,22,VELA04,1,0.120,7.333,01,ACS,F606W,VELA04_a0.120_sunrise_cam01_ACS-F606W_SB00-pred,0.9472047090530396,9.472046852111816,0.13324615359306335
3,2,91.8574,85.4876,0.934,0.865,88.84,92,86,VELA04,1,0.120,7.333,01,ACS,F606W,VELA04_a0.120_sunrise_cam01_ACS-F606W_SB00-pred,0.5954548120498657,8.3363676071167,0.15636874735355377
4,1,90.9337,21.7202,0.79,0.777,-82.4,90,22,VELA04,2,0.120,7.333,02,ACS,F606W,VELA04_a0.120_sunrise_cam02_ACS-F606W_SB00-pred,0.9472047090530396,9.472046852111816,0.13324615359306335
5,2,91.8574,85.4876,0.934,0.865,88.84,92,86,VELA04,2,0.120,7.333,02,ACS,F606W,VELA04_a0.120_sunrise_cam02_ACS-F606W_SB00-pred,0.5954548120498657,8.3363676071167,0.15636874735355377
6,1,90.9337,21.7202,0.79,0.777,-82.4,90,22,VELA04,3,0.120,7.333,03,ACS,F606W,VELA04_a0.120_sunrise_cam03_ACS-F606W_SB00-pred,0.9472047090530396,9.472046852111816,0.13324615359306335
7,2,91.8574,85.4876,0.934,0.865,88.84,92,86,VELA04,3,0.120,7.333,03,ACS,F606W,VELA04_a0.120_sunrise_cam03_ACS-F606W_SB00-pred,0.5954548120498657,8.3363676071167,0.15636874735355377
8,1,90.9337,21.7202,0.79,0.777,-82.4,90,22,VELA04,4,0.120,7.333,04,ACS,F606W,VELA04_a0.120_sunrise_cam04_ACS-F606W_SB00-pred,0.9472047090530396,9.472046852111816,0.13324615359306335
9,2,91.8574,85.4876,0.934,0.865,88.84,92,86,VELA04,4,0.120,7.333,04,ACS,F606W,VELA04_a0.120_sunrise_cam04_ACS-F606W_SB00-pred,0.5954548120498657,8.3363676071167,0.15636874735355377
10,1,90.9337,21.7202,0.79,0.777,-82.4,90,22,VELA04,5,0.120,7.333,05,ACS,F606W,VELA04_a0.120_sunrise_cam05_ACS-F606W_SB00-pred,0.9472047090530396,9.472046852111816,0.13324615359306335
11,2,91.8574,85.4876,0.934,0.865,88.84,92,86,VELA04,5,0.120,7.333,05,ACS,F606W,VELA04_a0.120_sunrise_cam05_ACS-F606W_SB00-pred,0.5954548120498657,8.3363676071167,0.15636874735355377
12,1,90.9337,21.7202,0.79,0.777,-82.4,90,22,VELA04,6,0.120,7.333,06,ACS,F606W,VELA04_a0.120_sunrise_cam06_ACS-F606W_SB00-pred,0.9472047090530396,9.472046852111816,0.13324615359306335
13,2,91.8574,85.4876,0.934,0.865,88.84,92,86,VELA04,6,0.120,7.333,06,ACS,F606W,VELA04_a0.120_sunrise_cam06_ACS-F606W_SB00-pred,0.5954548120498657,8.3363676071167,0.15636874735355377
14,1,90.9337,21.7202,0.79,0.777,-82.4,90,22,VELA04,7,0.120,7.333,07,ACS,F606W,VELA04_a0.120_sunrise_cam07_ACS-F606W_SB00-pred,0.9472047090530396,9.472046852111816,0.13324615359306335
15,2,91.8574,85.4876,0.934,0.865,88.84,92,86,VELA04,7,0.120,7.333,07,ACS,F606W,VELA04_a0.120_sunrise_cam07_ACS-F606W_SB00-pred,0.5954548120498657,8.3363676071167,0.15636874735355377
16,1,90.9337,21.7202,0.79,0.777,-82.4,90,22,VELA04,8,0.120,7.333,08,ACS,F606W,VELA04_a0.120_sunrise_cam08_ACS-F606W_SB00-pred,0.9472047090530396,9.472046852111816,0.13324615359306335
