,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,91.6187,10.7298,0.8909999999999999,0.816,41.64,91,11,VELA09,0,0.200,4.000,00,ACS,F606W,VELA09_a0.200_sunrise_cam00_ACS-F606W_SB00-pred,0.5903118848800659,7.674054145812988,0.1635940670967102
1,2,91.1162,118.7334,0.8490000000000001,0.8,36.26,91,119,VELA09,0,0.200,4.000,00,ACS,F606W,VELA09_a0.200_sunrise_cam00_ACS-F606W_SB00-pred,0.32428693771362305,3.5671563148498535,0.12435682862997055
2,3,65.4852,64.1145,1.4509999999999998,1.261,78.69,65,64,VELA09,0,0.200,4.000,00,ACS,F606W,VELA09_a0.200_sunrise_cam00_ACS-F606W_SB00-pred,0.28918594121932983,9.253950119018555,0.3134561777114868
3,1,91.6187,10.7299,0.8909999999999999,0.816,41.63,91,11,VELA09,1,0.200,4.000,01,ACS,F606W,VELA09_a0.200_sunrise_cam01_ACS-F606W_SB00-pred,0.5903144478797913,7.6740875244140625,0.1635942906141281
4,2,91.1161,118.7333,0.848,0.8,36.25,91,119,VELA09,1,0.200,4.000,01,ACS,F606W,VELA09_a0.200_sunrise_cam01_ACS-F606W_SB00-pred,0.32428285479545593,3.5671112537384033,0.12435679137706757
5,3,65.8832,65.0386,1.5019999999999998,1.014,-19.05,66,65,VELA09,1,0.200,4.000,01,ACS,F606W,VELA09_a0.200_sunrise_cam01_ACS-F606W_SB00-pred,0.32675182819366455,9.47580337524414,0.27919110655784607
6,1,91.6187,10.7298,0.8909999999999999,0.816,41.64,91,11,VELA09,2,0.200,4.000,02,ACS,F606W,VELA09_a0.200_sunrise_cam02_ACS-F606W_SB00-pred,0.5903126001358032,7.6740641593933105,0.1635940670967102
7,2,91.1163,118.7334,0.8490000000000001,0.8,36.26,91,119,VELA09,2,0.200,4.000,02,ACS,F606W,VELA09_a0.200_sunrise_cam02_ACS-F606W_SB00-pred,0.3242325484752655,3.5665581226348877,0.12435861676931381
8,3,65.8369,64.6639,1.923,1.204,89.06,66,64,VELA09,2,0.200,4.000,02,ACS,F606W,VELA09_a0.200_sunrise_cam02_ACS-F606W_SB00-pred,0.32403072714805603,13.285260200500488,0.38164839148521423
9,1,91.6187,10.7298,0.8909999999999999,0.816,41.63,91,11,VELA09,3,0.200,4.000,03,ACS,F606W,VELA09_a0.200_sunrise_cam03_ACS-F606W_SB00-pred,0.5903023481369019,7.6739301681518555,0.16359445452690125
10,2,91.1161,118.7332,0.848,0.8,36.25,91,119,VELA09,3,0.200,4.000,03,ACS,F606W,VELA09_a0.200_sunrise_cam03_ACS-F606W_SB00-pred,0.32428720593452454,3.5671591758728027,0.12435677647590637
11,3,64.5088,65.0657,1.5519999999999998,0.993,7.69,65,65,VELA09,3,0.200,4.000,03,ACS,F606W,VELA09_a0.200_sunrise_cam03_ACS-F606W_SB00-pred,0.3068513572216034,8.28498649597168,0.2699318528175354
12,1,91.6187,10.7298,0.8909999999999999,0.816,41.63,91,11,VELA09,4,0.200,4.000,04,ACS,F606W,VELA09_a0.200_sunrise_cam04_ACS-F606W_SB00-pred,0.5903134346008301,7.674074649810791,0.16359412670135498
13,2,91.1161,118.7333,0.848,0.8,36.25,91,119,VELA09,4,0.200,4.000,04,ACS,F606W,VELA09_a0.200_sunrise_cam04_ACS-F606W_SB00-pred,0.32428646087646484,3.5671510696411133,0.12435685843229294
14,3,67.0384,63.0331,1.337,1.038,-16.71,67,63,VELA09,4,0.200,4.000,04,ACS,F606W,VELA09_a0.200_sunrise_cam04_ACS-F606W_SB00-pred,0.28733131289482117,10.056595802307129,0.2678859829902649
15,1,91.6186,10.7296,0.8909999999999999,0.816,41.64,91,11,VELA09,5,0.200,4.000,05,ACS,F606W,VELA09_a0.200_sunrise_cam05_ACS-F606W_SB00-pred,0.5897856950759888,7.6672139167785645,0.16359511017799377
16,2,91.1161,118.7333,0.8490000000000001,0.8,36.25,91,119,VELA09,5,0.200,4.000,05,ACS,F606W,VELA09_a0.200_sunrise_cam05_ACS-F606W_SB00-pred,0.3242863416671753,3.5671496391296387,0.12435681372880936
17,3,65.811,64.9908,1.291,1.083,-5.39,66,65,VELA09,5,0.200,4.000,05,ACS,F606W,VELA09_a0.200_sunrise_cam05_ACS-F606W_SB00-pred,0.3904866874217987,9.762166976928711,0.27786028385162354
18,4,61.497,65.0267,1.09,1.0070000000000001,-52.47,62,65,VELA09,5,0.200,4.000,05,ACS,F606W,VELA09_a0.200_sunrise_cam05_ACS-F606W_SB00-pred,0.32156842947006226,5.78823184967041,0.17507526278495789
19,1,91.6187,10.7298,0.8909999999999999,0.816,41.63,91,11,VELA09,6,0.200,4.000,06,ACS,F606W,VELA09_a0.200_sunrise_cam06_ACS-F606W_SB00-pred,0.5903117656707764,7.674053192138672,0.16359421610832214
20,2,91.1161,118.7333,0.8490000000000001,0.8,36.25,91,119,VELA09,6,0.200,4.000,06,ACS,F606W,VELA09_a0.200_sunrise_cam06_ACS-F606W_SB00-pred,0.32428672909736633,3.5671539306640625,0.12435679882764816
21,3,66.097,63.782,2.474,1.047,-16.86,67,63,VELA09,6,0.200,4.000,06,ACS,F606W,VELA09_a0.200_sunrise_cam06_ACS-F606W_SB00-pred,0.2525680959224701,10.607860565185547,0.3592635989189148
22,1,91.6187,10.7298,0.8909999999999999,0.816,41.64,91,11,VELA09,7,0.200,4.000,07,ACS,F606W,VELA09_a0.200_sunrise_cam07_ACS-F606W_SB00-pred,0.5903129577636719,7.674068450927734,0.16359402239322662
23,2,91.1162,118.7334,0.8490000000000001,0.8,36.26,91,119,VELA09,7,0.200,4.000,07,ACS,F606W,VELA09_a0.200_sunrise_cam07_ACS-F606W_SB00-pred,0.32426953315734863,3.566964864730835,0.12435693293809891
24,3,66.3286,64.5216,1.57,1.235,-78.59,66,64,VELA09,7,0.200,4.000,07,ACS,F606W,VELA09_a0.200_sunrise_cam07_ACS-F606W_SB00-pred,0.35363486409187317,12.377220153808594,0.34948447346687317
25,1,91.6187,10.7298,0.8909999999999999,0.816,41.64,91,11,VELA09,8,0.200,4.000,08,ACS,F606W,VELA09_a0.200_sunrise_cam08_ACS-F606W_SB00-pred,0.5903130769729614,7.674069881439209,0.1635941118001938
26,2,91.1162,118.7333,0.8490000000000001,0.8,36.25,91,119,VELA09,8,0.200,4.000,08,ACS,F606W,VELA09_a0.200_sunrise_cam08_ACS-F606W_SB00-pred,0.32428765296936035,3.567164182662964,0.12435682117938995
27,3,65.7276,65.0025,1.273,0.961,69.94,66,65,VELA09,8,0.200,4.000,08,ACS,F606W,VELA09_a0.200_sunrise_cam08_ACS-F606W_SB00-pred,0.20171517133712769,3.630873203277588,0.19655920565128326
28,4,62.0165,65.5083,1.262,1.037,-20.73,62,66,VELA09,8,0.200,4.000,08,ACS,F606W,VELA09_a0.200_sunrise_cam08_ACS-F606W_SB00-pred,0.23978516459465027,4.795703411102295,0.20765480399131775
29,1,91.6187,10.7298,0.8909999999999999,0.816,41.63,91,11,VELA09,9,0.200,4.000,09,ACS,F606W,VELA09_a0.200_sunrise_cam09_ACS-F606W_SB00-pred,0.590276300907135,7.6735920906066895,0.16359446942806244
30,2,91.1161,118.7333,0.848,0.8,36.25,91,119,VELA09,9,0.200,4.000,09,ACS,F606W,VELA09_a0.200_sunrise_cam09_ACS-F606W_SB00-pred,0.3242852985858917,3.567138195037842,0.12435676902532578
31,3,65.7008,65.3434,1.081,0.9790000000000001,23.31,66,65,VELA09,9,0.200,4.000,09,ACS,F606W,VELA09_a0.200_sunrise_cam09_ACS-F606W_SB00-pred,0.19394804537296295,2.7152726650238037,0.13046307861804962
32,4,62.6765,63.0032,1.253,0.985,61.09,63,63,VELA09,9,0.200,4.000,09,ACS,F606W,VELA09_a0.200_sunrise_cam09_ACS-F606W_SB00-pred,0.21977119147777557,4.175652503967285,0.18242768943309784
33,1,91.6187,10.7298,0.8909999999999999,0.816,41.63,91,11,VELA09,10,0.200,4.000,10,ACS,F606W,VELA09_a0.200_sunrise_cam10_ACS-F606W_SB00-pred,0.5903128385543823,7.674066543579102,0.1635940819978714
34,2,91.1161,118.7333,0.848,0.8,36.25,91,119,VELA09,10,0.200,4.000,10,ACS,F606W,VELA09_a0.200_sunrise_cam10_ACS-F606W_SB00-pred,0.32428547739982605,3.5671401023864746,0.12435679137706757
35,3,64.3328,65.3053,1.88,1.07,6.58,65,65,VELA09,10,0.200,4.000,10,ACS,F606W,VELA09_a0.200_sunrise_cam10_ACS-F606W_SB00-pred,0.31301605701446533,11.268577575683594,0.3927842676639557
36,1,91.6187,10.7298,0.8909999999999999,0.816,41.63,91,11,VELA09,11,0.200,4.000,11,ACS,F606W,VELA09_a0.200_sunrise_cam11_ACS-F606W_SB00-pred,0.590297520160675,7.673867702484131,0.16359494626522064
37,2,91.1161,118.7333,0.8490000000000001,0.8,36.25,91,119,VELA09,11,0.200,4.000,11,ACS,F606W,VELA09_a0.200_sunrise_cam11_ACS-F606W_SB00-pred,0.3242551386356354,3.5668065547943115,0.12435698509216309
38,3,66.8341,65.4266,1.286,0.981,11.35,67,65,VELA09,11,0.200,4.000,11,ACS,F606W,VELA09_a0.200_sunrise_cam11_ACS-F606W_SB00-pred,0.41185232996940613,9.472603797912598,0.2461836040019989
39,1,91.6187,10.7298,0.8909999999999999,0.816,41.63,91,11,VELA09,12,0.200,4.000,12,ACS,F606W,VELA09_a0.200_sunrise_cam12_ACS-F606W_SB00-pred,0.5902978777885437,7.673872470855713,0.16359412670135498
