,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,90.9245,9.8734,0.784,0.779,57.5,91,9,VELA17,0,0.100,9.000,00,ACS,F606W,VELA17_a0.100_sunrise_cam00_ACS-F606W_SB00-pred,0.4172769784927368,3.755492687225342,0.10097025334835052
1,2,91.5291,118.7216,0.855,0.843,11.12,91,118,VELA17,0,0.100,9.000,00,ACS,F606W,VELA17_a0.100_sunrise_cam00_ACS-F606W_SB00-pred,0.46191129088401794,6.4667582511901855,0.1569501906633377
2,3,91.1451,37.1611,0.87,0.848,-46.95,91,37,VELA17,0,0.100,9.000,00,ACS,F606W,VELA17_a0.100_sunrise_cam00_ACS-F606W_SB00-pred,0.20803095400333405,2.2883405685424805,0.08579028397798538
3,1,90.9245,9.8734,0.784,0.779,57.5,91,9,VELA17,1,0.100,9.000,01,ACS,F606W,VELA17_a0.100_sunrise_cam01_ACS-F606W_SB00-pred,0.4172769784927368,3.755492687225342,0.10097025334835052
4,2,91.5291,118.7216,0.855,0.843,11.12,91,118,VELA17,1,0.100,9.000,01,ACS,F606W,VELA17_a0.100_sunrise_cam01_ACS-F606W_SB00-pred,0.46191129088401794,6.4667582511901855,0.1569501906633377
5,3,91.1451,37.1611,0.87,0.848,-46.95,91,37,VELA17,1,0.100,9.000,01,ACS,F606W,VELA17_a0.100_sunrise_cam01_ACS-F606W_SB00-pred,0.20803095400333405,2.2883405685424805,0.08579028397798538
6,1,90.9245,9.8734,0.784,0.779,57.5,91,9,VELA17,2,0.100,9.000,02,ACS,F606W,VELA17_a0.100_sunrise_cam02_ACS-F606W_SB00-pred,0.4172769784927368,3.755492687225342,0.10097025334835052
7,2,91.5291,118.7216,0.855,0.843,11.12,91,118,VELA17,2,0.100,9.000,02,ACS,F606W,VELA17_a0.100_sunrise_cam02_ACS-F606W_SB00-pred,0.46191129088401794,6.4667582511901855,0.1569501906633377
8,3,91.1451,37.1611,0.87,0.848,-46.95,91,37,VELA17,2,0.100,9.000,02,ACS,F606W,VELA17_a0.100_sunrise_cam02_ACS-F606W_SB00-pred,0.20803095400333405,2.2883405685424805,0.08579028397798538
9,1,90.9245,9.8734,0.784,0.779,57.5,91,9,VELA17,3,0.100,9.000,03,ACS,F606W,VELA17_a0.100_sunrise_cam03_ACS-F606W_SB00-pred,0.4172769784927368,3.755492687225342,0.10097025334835052
10,2,91.5291,118.7216,0.855,0.843,11.12,91,118,VELA17,3,0.100,9.000,03,ACS,F606W,VELA17_a0.100_sunrise_cam03_ACS-F606W_SB00-pred,0.46191129088401794,6.4667582511901855,0.1569501906633377
11,3,91.1451,37.1611,0.87,0.848,-46.95,91,37,VELA17,3,0.100,9.000,03,ACS,F606W,VELA17_a0.100_sunrise_cam03_ACS-F606W_SB00-pred,0.20803095400333405,2.2883405685424805,0.08579028397798538
12,1,90.9245,9.8734,0.784,0.779,57.5,91,9,VELA17,4,0.100,9.000,04,ACS,F606W,VELA17_a0.100_sunrise_cam04_ACS-F606W_SB00-pred,0.4172769784927368,3.755492687225342,0.10097025334835052
13,2,91.5291,118.7216,0.855,0.843,11.12,91,118,VELA17,4,0.100,9.000,04,ACS,F606W,VELA17_a0.100_sunrise_cam04_ACS-F606W_SB00-pred,0.46191129088401794,6.4667582511901855,0.1569501906633377
14,3,91.1451,37.1611,0.87,0.848,-46.95,91,37,VELA17,4,0.100,9.000,04,ACS,F606W,VELA17_a0.100_sunrise_cam04_ACS-F606W_SB00-pred,0.20803095400333405,2.2883405685424805,0.08579028397798538
15,1,90.9245,9.8734,0.784,0.779,57.5,91,9,VELA17,5,0.100,9.000,05,ACS,F606W,VELA17_a0.100_sunrise_cam05_ACS-F606W_SB00-pred,0.4172769784927368,3.755492687225342,0.10097025334835052
16,2,91.5291,118.7216,0.855,0.843,11.12,91,118,VELA17,5,0.100,9.000,05,ACS,F606W,VELA17_a0.100_sunrise_cam05_ACS-F606W_SB00-pred,0.46191129088401794,6.4667582511901855,0.1569501906633377
17,3,91.1451,37.1611,0.87,0.848,-46.95,91,37,VELA17,5,0.100,9.000,05,ACS,F606W,VELA17_a0.100_sunrise_cam05_ACS-F606W_SB00-pred,0.20803095400333405,2.2883405685424805,0.08579028397798538
18,1,90.9245,9.8734,0.784,0.779,57.5,91,9,VELA17,6,0.100,9.000,06,ACS,F606W,VELA17_a0.100_sunrise_cam06_ACS-F606W_SB00-pred,0.4172769784927368,3.755492687225342,0.10097025334835052
19,2,91.5291,118.7216,0.855,0.843,11.12,91,118,VELA17,6,0.100,9.000,06,ACS,F606W,VELA17_a0.100_sunrise_cam06_ACS-F606W_SB00-pred,0.46191129088401794,6.4667582511901855,0.1569501906633377
20,3,91.1451,37.1611,0.87,0.848,-46.95,91,37,VELA17,6,0.100,9.000,06,ACS,F606W,VELA17_a0.100_sunrise_cam06_ACS-F606W_SB00-pred,0.20803095400333405,2.2883405685424805,0.08579028397798538
21,1,90.9245,9.8734,0.784,0.779,57.5,91,9,VELA17,7,0.100,9.000,07,ACS,F606W,VELA17_a0.100_sunrise_cam07_ACS-F606W_SB00-pred,0.4172769784927368,3.755492687225342,0.10097025334835052
22,2,91.5291,118.7216,0.855,0.843,11.12,91,118,VELA17,7,0.100,9.000,07,ACS,F606W,VELA17_a0.100_sunrise_cam07_ACS-F606W_SB00-pred,0.46191129088401794,6.4667582511901855,0.1569501906633377
23,3,91.1451,37.1611,0.87,0.848,-46.95,91,37,VELA17,7,0.100,9.000,07,ACS,F606W,VELA17_a0.100_sunrise_cam07_ACS-F606W_SB00-pred,0.20803095400333405,2.2883405685424805,0.08579028397798538
24,1,90.9245,9.8734,0.784,0.779,57.5,91,9,VELA17,8,0.100,9.000,08,ACS,F606W,VELA17_a0.100_sunrise_cam08_ACS-F606W_SB00-pred,0.4172769784927368,3.755492687225342,0.10097025334835052
25,2,91.5291,118.7216,0.855,0.843,11.12,91,118,VELA17,8,0.100,9.000,08,ACS,F606W,VELA17_a0.100_sunrise_cam08_ACS-F606W_SB00-pred,0.46191129088401794,6.4667582511901855,0.1569501906633377
26,3,91.1451,37.1611,0.87,0.848,-46.95,91,37,VELA17,8,0.100,9.000,08,ACS,F606W,VELA17_a0.100_sunrise_cam08_ACS-F606W_SB00-pred,0.20803095400333405,2.2883405685424805,0.08579028397798538
27,1,90.9245,9.8734,0.784,0.779,57.5,91,9,VELA17,9,0.100,9.000,09,ACS,F606W,VELA17_a0.100_sunrise_cam09_ACS-F606W_SB00-pred,0.4172769784927368,3.755492687225342,0.10097025334835052
28,2,91.5291,118.7216,0.855,0.843,11.12,91,118,VELA17,9,0.100,9.000,09,ACS,F606W,VELA17_a0.100_sunrise_cam09_ACS-F606W_SB00-pred,0.46191129088401794,6.4667582511901855,0.1569501906633377
29,3,91.1451,37.1611,0.87,0.848,-46.95,91,37,VELA17,9,0.100,9.000,09,ACS,F606W,VELA17_a0.100_sunrise_cam09_ACS-F606W_SB00-pred,0.20803095400333405,2.2883405685424805,0.08579028397798538
30,1,90.9245,9.8734,0.784,0.779,57.5,91,9,VELA17,10,0.100,9.000,10,ACS,F606W,VELA17_a0.100_sunrise_cam10_ACS-F606W_SB00-pred,0.4172769784927368,3.755492687225342,0.10097025334835052
31,2,91.5291,118.7216,0.855,0.843,11.12,91,118,VELA17,10,0.100,9.000,10,ACS,F606W,VELA17_a0.100_sunrise_cam10_ACS-F606W_SB00-pred,0.46191129088401794,6.4667582511901855,0.1569501906633377
32,3,91.1451,37.1611,0.87,0.848,-46.95,91,37,VELA17,10,0.100,9.000,10,ACS,F606W,VELA17_a0.100_sunrise_cam10_ACS-F606W_SB00-pred,0.20803095400333405,2.2883405685424805,0.08579028397798538
33,1,90.9245,9.8734,0.784,0.779,57.5,91,9,VELA17,11,0.100,9.000,11,ACS,F606W,VELA17_a0.100_sunrise_cam11_ACS-F606W_SB00-pred,0.4172769784927368,3.755492687225342,0.10097025334835052
34,2,91.5291,118.7216,0.855,0.843,11.12,91,118,VELA17,11,0.100,9.000,11,ACS,F606W,VELA17_a0.100_sunrise_cam11_ACS-F606W_SB00-pred,0.46191129088401794,6.4667582511901855,0.1569501906633377
