,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,59.9685,11.6917,0.746,0.6890000000000001,3.35,60,11,VELA20,0,0.100,9.000,00,ACS,F606W,VELA20_a0.100_sunrise_cam00_ACS-F606W_SB00-pred,0.07176296412944794,0.5023407340049744,0.04527611657977104
1,2,91.176,51.0905,0.938,0.862,39.04,91,51,VELA20,0,0.100,9.000,00,ACS,F606W,VELA20_a0.100_sunrise_cam00_ACS-F606W_SB00-pred,0.5555638670921326,8.333457946777344,0.11823976039886475
2,3,90.9947,24.9719,0.867,0.8640000000000001,49.4,91,25,VELA20,0,0.100,9.000,00,ACS,F606W,VELA20_a0.100_sunrise_cam00_ACS-F606W_SB00-pred,0.859315812587738,11.17110538482666,0.16308297216892242
3,1,59.9685,11.6917,0.746,0.6890000000000001,3.35,60,11,VELA20,1,0.100,9.000,01,ACS,F606W,VELA20_a0.100_sunrise_cam01_ACS-F606W_SB00-pred,0.07176296412944794,0.5023407340049744,0.04527611657977104
4,2,91.176,51.0905,0.938,0.862,39.04,91,51,VELA20,1,0.100,9.000,01,ACS,F606W,VELA20_a0.100_sunrise_cam01_ACS-F606W_SB00-pred,0.5555638670921326,8.333457946777344,0.11823976039886475
5,3,90.9947,24.9719,0.867,0.8640000000000001,49.4,91,25,VELA20,1,0.100,9.000,01,ACS,F606W,VELA20_a0.100_sunrise_cam01_ACS-F606W_SB00-pred,0.859315812587738,11.17110538482666,0.16308297216892242
6,1,59.9685,11.6917,0.746,0.6890000000000001,3.35,60,11,VELA20,2,0.100,9.000,02,ACS,F606W,VELA20_a0.100_sunrise_cam02_ACS-F606W_SB00-pred,0.07176296412944794,0.5023407340049744,0.04527611657977104
7,2,91.176,51.0905,0.938,0.862,39.04,91,51,VELA20,2,0.100,9.000,02,ACS,F606W,VELA20_a0.100_sunrise_cam02_ACS-F606W_SB00-pred,0.5555638670921326,8.333457946777344,0.11823976039886475
8,3,90.9947,24.9719,0.867,0.8640000000000001,49.4,91,25,VELA20,2,0.100,9.000,02,ACS,F606W,VELA20_a0.100_sunrise_cam02_ACS-F606W_SB00-pred,0.859315812587738,11.17110538482666,0.16308297216892242
9,1,59.9685,11.6917,0.746,0.6890000000000001,3.35,60,11,VELA20,3,0.100,9.000,03,ACS,F606W,VELA20_a0.100_sunrise_cam03_ACS-F606W_SB00-pred,0.07176296412944794,0.5023407340049744,0.04527611657977104
10,2,91.176,51.0905,0.938,0.862,39.04,91,51,VELA20,3,0.100,9.000,03,ACS,F606W,VELA20_a0.100_sunrise_cam03_ACS-F606W_SB00-pred,0.5555638670921326,8.333457946777344,0.11823976039886475
11,3,90.9947,24.9719,0.867,0.8640000000000001,49.4,91,25,VELA20,3,0.100,9.000,03,ACS,F606W,VELA20_a0.100_sunrise_cam03_ACS-F606W_SB00-pred,0.859315812587738,11.17110538482666,0.16308297216892242
12,1,59.9685,11.6917,0.746,0.6890000000000001,3.35,60,11,VELA20,4,0.100,9.000,04,ACS,F606W,VELA20_a0.100_sunrise_cam04_ACS-F606W_SB00-pred,0.07176296412944794,0.5023407340049744,0.04527611657977104
13,2,91.176,51.0905,0.938,0.862,39.04,91,51,VELA20,4,0.100,9.000,04,ACS,F606W,VELA20_a0.100_sunrise_cam04_ACS-F606W_SB00-pred,0.5555638670921326,8.333457946777344,0.11823976039886475
14,3,90.9947,24.9719,0.867,0.8640000000000001,49.4,91,25,VELA20,4,0.100,9.000,04,ACS,F606W,VELA20_a0.100_sunrise_cam04_ACS-F606W_SB00-pred,0.859315812587738,11.17110538482666,0.16308297216892242
15,1,59.9685,11.6917,0.746,0.6890000000000001,3.35,60,11,VELA20,5,0.100,9.000,05,ACS,F606W,VELA20_a0.100_sunrise_cam05_ACS-F606W_SB00-pred,0.07176296412944794,0.5023407340049744,0.04527611657977104
16,2,91.176,51.0905,0.938,0.862,39.04,91,51,VELA20,5,0.100,9.000,05,ACS,F606W,VELA20_a0.100_sunrise_cam05_ACS-F606W_SB00-pred,0.5555638670921326,8.333457946777344,0.11823976039886475
17,3,90.9947,24.9719,0.867,0.8640000000000001,49.4,91,25,VELA20,5,0.100,9.000,05,ACS,F606W,VELA20_a0.100_sunrise_cam05_ACS-F606W_SB00-pred,0.859315812587738,11.17110538482666,0.16308297216892242
18,1,59.9685,11.6917,0.746,0.6890000000000001,3.35,60,11,VELA20,6,0.100,9.000,06,ACS,F606W,VELA20_a0.100_sunrise_cam06_ACS-F606W_SB00-pred,0.07176296412944794,0.5023407340049744,0.04527611657977104
19,2,91.176,51.0905,0.938,0.862,39.04,91,51,VELA20,6,0.100,9.000,06,ACS,F606W,VELA20_a0.100_sunrise_cam06_ACS-F606W_SB00-pred,0.5555638670921326,8.333457946777344,0.11823976039886475
20,3,90.9947,24.9719,0.867,0.8640000000000001,49.4,91,25,VELA20,6,0.100,9.000,06,ACS,F606W,VELA20_a0.100_sunrise_cam06_ACS-F606W_SB00-pred,0.859315812587738,11.17110538482666,0.16308297216892242
21,1,59.9685,11.6917,0.746,0.6890000000000001,3.35,60,11,VELA20,7,0.100,9.000,07,ACS,F606W,VELA20_a0.100_sunrise_cam07_ACS-F606W_SB00-pred,0.07176296412944794,0.5023407340049744,0.04527611657977104
22,2,91.176,51.0905,0.938,0.862,39.04,91,51,VELA20,7,0.100,9.000,07,ACS,F606W,VELA20_a0.100_sunrise_cam07_ACS-F606W_SB00-pred,0.5555638670921326,8.333457946777344,0.11823976039886475
23,3,90.9947,24.9719,0.867,0.8640000000000001,49.4,91,25,VELA20,7,0.100,9.000,07,ACS,F606W,VELA20_a0.100_sunrise_cam07_ACS-F606W_SB00-pred,0.859315812587738,11.17110538482666,0.16308297216892242
24,1,59.9685,11.6917,0.746,0.6890000000000001,3.35,60,11,VELA20,8,0.100,9.000,08,ACS,F606W,VELA20_a0.100_sunrise_cam08_ACS-F606W_SB00-pred,0.07176296412944794,0.5023407340049744,0.04527611657977104
25,2,91.176,51.0905,0.938,0.862,39.04,91,51,VELA20,8,0.100,9.000,08,ACS,F606W,VELA20_a0.100_sunrise_cam08_ACS-F606W_SB00-pred,0.5555638670921326,8.333457946777344,0.11823976039886475
26,3,90.9947,24.9719,0.867,0.8640000000000001,49.4,91,25,VELA20,8,0.100,9.000,08,ACS,F606W,VELA20_a0.100_sunrise_cam08_ACS-F606W_SB00-pred,0.859315812587738,11.17110538482666,0.16308297216892242
27,1,59.9685,11.6917,0.746,0.6890000000000001,3.35,60,11,VELA20,9,0.100,9.000,09,ACS,F606W,VELA20_a0.100_sunrise_cam09_ACS-F606W_SB00-pred,0.07176296412944794,0.5023407340049744,0.04527611657977104
28,2,91.176,51.0905,0.938,0.862,39.04,91,51,VELA20,9,0.100,9.000,09,ACS,F606W,VELA20_a0.100_sunrise_cam09_ACS-F606W_SB00-pred,0.5555638670921326,8.333457946777344,0.11823976039886475
