,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,66.0104,66.2884,0.75,0.6970000000000001,4.73,66,67,VELA20,237,0.220,3.545,09,ACS,F435W,VELA20_a0.220_sunrise_cam09_ACS-F435W_SB00-pred,0.0422159805893898,0.2955118715763092,0.04150889068841934
1,1,59.5311,67.5086,0.945,0.9390000000000001,38.91,60,68,VELA20,248,0.230,3.348,01,ACS,F435W,VELA20_a0.230_sunrise_cam01_ACS-F435W_SB00-pred,0.04894277825951576,0.5873133540153503,0.051251545548439026
2,1,59.0186,67.3866,1.285,1.054,-53.43,59,67,VELA20,266,0.240,3.167,00,ACS,F435W,VELA20_a0.240_sunrise_cam00_ACS-F435W_SB00-pred,0.19877749681472778,4.174327373504639,0.06697455793619156
3,1,59.9826,66.8718,1.2830000000000001,1.034,-14.08,60,67,VELA20,267,0.240,3.167,01,ACS,F435W,VELA20_a0.240_sunrise_cam01_ACS-F435W_SB00-pred,0.3512572944164276,8.078917503356934,0.1065758615732193
4,1,63.641,63.8219,1.244,1.091,-51.82,64,64,VELA20,268,0.240,3.167,02,ACS,F435W,VELA20_a0.240_sunrise_cam02_ACS-F435W_SB00-pred,0.21004794538021088,4.411006927490234,0.14846459031105042
5,1,70.423,50.4018,1.079,0.965,-6.46,70,50,VELA20,269,0.240,3.167,03,ACS,F435W,VELA20_a0.240_sunrise_cam03_ACS-F435W_SB00-pred,0.5233331918716431,9.419997215270996,0.07957921922206879
6,1,69.8082,53.6712,0.987,0.878,69.22,70,54,VELA20,270,0.240,3.167,04,ACS,F435W,VELA20_a0.240_sunrise_cam04_ACS-F435W_SB00-pred,0.11588737368583679,1.3906484842300415,0.044592566788196564
7,2,59.8239,67.3862,1.155,0.955,14.47,60,67,VELA20,270,0.240,3.167,04,ACS,F435W,VELA20_a0.240_sunrise_cam04_ACS-F435W_SB00-pred,0.22005930542945862,3.7410082817077637,0.07807130366563797
8,1,69.8036,53.4977,0.998,0.971,87.31,70,54,VELA20,272,0.240,3.167,06,ACS,F435W,VELA20_a0.240_sunrise_cam06_ACS-F435W_SB00-pred,0.13725055754184723,1.9215078353881836,0.055567581206560135
9,2,59.8037,67.3713,1.165,0.955,14.46,60,67,VELA20,272,0.240,3.167,06,ACS,F435W,VELA20_a0.240_sunrise_cam06_ACS-F435W_SB00-pred,0.2001163363456726,3.401977777481079,0.07687269896268845
10,1,60.708,67.9577,1.3030000000000002,1.126,-0.89,60,68,VELA20,273,0.240,3.167,07,ACS,F435W,VELA20_a0.240_sunrise_cam07_ACS-F435W_SB00-pred,0.3606244623661041,9.01561164855957,0.09875613451004028
11,1,52.1546,55.296,1.065,0.879,26.76,52,56,VELA20,274,0.240,3.167,08,ACS,F435W,VELA20_a0.240_sunrise_cam08_ACS-F435W_SB00-pred,0.16765883564949036,2.3472237586975098,0.06470107287168503
12,1,63.2614,65.542,1.652,0.995,-1.92,63,66,VELA20,275,0.240,3.167,09,ACS,F435W,VELA20_a0.240_sunrise_cam09_ACS-F435W_SB00-pred,0.29796960949897766,8.04517936706543,0.19646039605140686
13,1,79.0405,63.0095,1.291,0.726,14.84,79,63,VELA20,277,0.240,3.167,11,ACS,F435W,VELA20_a0.240_sunrise_cam11_ACS-F435W_SB00-pred,0.07729584723711014,1.0048459768295288,0.0485425740480423
14,2,63.1506,65.1497,1.225,1.075,-41.94,63,65,VELA20,277,0.240,3.167,11,ACS,F435W,VELA20_a0.240_sunrise_cam11_ACS-F435W_SB00-pred,0.10449816286563873,1.9854650497436523,0.06338466703891754
15,1,90.7903,50.5973,0.7659999999999999,0.449,18.62,91,51,VELA20,278,0.240,3.167,12,ACS,F435W,VELA20_a0.240_sunrise_cam12_ACS-F435W_SB00-pred,0.049107909202575684,0.24553954601287842,0.024818459525704384
16,2,62.6567,66.3251,1.7819999999999998,1.062,-30.88,63,67,VELA20,278,0.240,3.167,12,ACS,F435W,VELA20_a0.240_sunrise_cam12_ACS-F435W_SB00-pred,0.15274253487586975,4.276791095733643,0.14790862798690796
17,3,70.6661,63.2412,1.067,0.937,-5.44,71,63,VELA20,278,0.240,3.167,12,ACS,F435W,VELA20_a0.240_sunrise_cam12_ACS-F435W_SB00-pred,0.19268226623535156,2.8902339935302734,0.07294846326112747
18,1,62.5213,65.0064,1.123,0.958,-89.51,63,65,VELA20,279,0.240,3.167,13,ACS,F435W,VELA20_a0.240_sunrise_cam13_ACS-F435W_SB00-pred,0.1379028856754303,2.2064461708068848,0.06679773330688477
19,2,75.9026,70.1232,1.175,0.98,30.88,76,70,VELA20,279,0.240,3.167,13,ACS,F435W,VELA20_a0.240_sunrise_cam13_ACS-F435W_SB00-pred,0.502906084060669,10.561027526855469,0.08856125921010971
20,1,84.7358,64.5276,0.9640000000000001,0.932,82.1,85,65,VELA20,280,0.240,3.167,14,ACS,F435W,VELA20_a0.240_sunrise_cam14_ACS-F435W_SB00-pred,0.21362236142158508,2.990713119506836,0.062333595007658005
21,2,62.8424,65.5765,1.219,0.966,-14.13,63,66,VELA20,280,0.240,3.167,14,ACS,F435W,VELA20_a0.240_sunrise_cam14_ACS-F435W_SB00-pred,0.11302749812602997,1.9214674234390259,0.06223387271165848
22,1,91.3785,49.4919,0.992,0.885,-49.94,91,49,VELA20,282,0.240,3.167,16,ACS,F435W,VELA20_a0.240_sunrise_cam16_ACS-F435W_SB00-pred,0.20150192081928253,2.6195249557495117,0.06054854765534401
23,1,66.7959,69.2695,1.1840000000000002,1.051,48.23,67,70,VELA20,283,0.240,3.167,17,ACS,F435W,VELA20_a0.240_sunrise_cam17_ACS-F435W_SB00-pred,0.1837843656539917,3.491903066635132,0.08782315254211426
24,1,64.858,63.4765,1.12,1.003,-13.95,65,64,VELA20,284,0.240,3.167,18,ACS,F435W,VELA20_a0.240_sunrise_cam18_ACS-F435W_SB00-pred,0.08003950864076614,1.2005926370620728,0.12462319433689117
25,2,60.85,67.637,1.205,0.973,-14.67,61,68,VELA20,284,0.240,3.167,18,ACS,F435W,VELA20_a0.240_sunrise_cam18_ACS-F435W_SB00-pred,0.1370166540145874,2.3292832374572754,0.07806339859962463
