,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,121.5587,99.0097,1.298,1.176,11.73,122,99,VELA22,135,0.170,4.882,02,ACS,F606W,VELA22_a0.170_sunrise_cam02_ACS-F606W_SB00-pred,0.12338237464427948,3.084559440612793,0.1046532467007637
1,1,65.7746,65.1761,1.082,0.976,46.99,65,65,VELA22,152,0.180,4.556,00,ACS,F606W,VELA22_a0.180_sunrise_cam00_ACS-F606W_SB00-pred,0.30149346590042114,5.7283759117126465,0.1277492493391037
2,2,87.7112,73.5799,1.321,0.975,12.42,88,74,VELA22,152,0.180,4.556,00,ACS,F606W,VELA22_a0.180_sunrise_cam00_ACS-F606W_SB00-pred,0.11811044067144394,2.362208843231201,0.10122066736221313
3,1,25.3039,65.0965,1.599,1.198,5.04,26,65,VELA22,153,0.180,4.556,01,ACS,F606W,VELA22_a0.180_sunrise_cam01_ACS-F606W_SB00-pred,0.12762795388698578,4.977490425109863,0.15215758979320526
4,2,65.262,65.7728,1.104,0.993,41.37,65,66,VELA22,153,0.180,4.556,01,ACS,F606W,VELA22_a0.180_sunrise_cam01_ACS-F606W_SB00-pred,0.24599361419677734,4.6738786697387695,0.11349944770336151
5,1,65.5408,66.0903,1.051,0.934,85.33,66,66,VELA22,154,0.180,4.556,02,ACS,F606W,VELA22_a0.180_sunrise_cam02_ACS-F606W_SB00-pred,0.16414690017700195,2.6263504028320312,0.10011308640241623
6,1,66.711,66.009,0.758,0.693,86.68,67,67,VELA22,155,0.180,4.556,03,ACS,F606W,VELA22_a0.180_sunrise_cam03_ACS-F606W_SB00-pred,0.03724049776792526,0.26068347692489624,0.049529604613780975
7,1,65.1004,65.581,1.138,0.9740000000000001,56.59,65,66,VELA22,156,0.180,4.556,04,ACS,F606W,VELA22_a0.180_sunrise_cam04_ACS-F606W_SB00-pred,0.3489418029785156,7.327777862548828,0.14194467663764954
8,1,46.6449,44.9992,1.138,1.101,-84.03,47,45,VELA22,157,0.180,4.556,05,ACS,F606W,VELA22_a0.180_sunrise_cam05_ACS-F606W_SB00-pred,0.05400441586971283,0.9180750846862793,0.05252261459827423
9,2,65.3997,66.0159,1.032,0.951,15.41,65,66,VELA22,157,0.180,4.556,05,ACS,F606W,VELA22_a0.180_sunrise_cam05_ACS-F606W_SB00-pred,0.46441343426704407,8.359441757202148,0.12689915299415588
10,3,38.1645,47.3005,1.38,1.172,-12.28,38,48,VELA22,157,0.180,4.556,05,ACS,F606W,VELA22_a0.180_sunrise_cam05_ACS-F606W_SB00-pred,0.07036735862493515,1.618449330329895,0.0963163822889328
11,1,65.3758,65.7309,1.1320000000000001,1.035,20.69,65,66,VELA22,158,0.180,4.556,06,ACS,F606W,VELA22_a0.180_sunrise_cam06_ACS-F606W_SB00-pred,0.2577696442604065,5.413162708282471,0.11634018272161484
12,1,66.1044,65.5257,1.078,0.97,21.11,66,66,VELA22,160,0.180,4.556,08,ACS,F606W,VELA22_a0.180_sunrise_cam08_ACS-F606W_SB00-pred,0.07635022699832916,1.1452534198760986,0.0903002992272377
